"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TRUJILLO (000)",334868,649006,612977,,11570,94.4,1.8
"De 12 a 14 años (001)",24444,138,122,,23,88.4,16.7
"De 15 a 19 años (002)",43652,4307,4188,1174,97.2,27.3,
"De 20 a 24 años (003)",41937,21244,20942,2791,98.6,13.1,
"De 25 a 29 años (004)",36958,38543,37977,2875,98.5,7.5,
"De 30 a 34 años (005)",32901,54174,53237,2538,98.3,4.7,
"De 35 a 39 años (006)",29190,64407,63100,1536,98,2.4,
"De 40 a 44 años (007)",26398,69987,68054,552,97.2,0.8,
"De 45 a 49 años (008)",22716,68967,66436,78,96.3,0.1,
"De 50 y más años (009)",76672,327239,298921,3,91.3,,
"Sin nivel (010)",20938,98278,86579,368,88.1,0.4,
"De 12 a 14 años (011)",256,2,1,,50,,
"De 15 a 19 años (012)",497,93,91,17,97.8,18.3,
"De 20 a 24 años (013)",593,544,532,51,97.8,9.4,
"De 25 a 29 años (014)",642,1056,1038,58,98.3,5.5,
"De 30 a 34 años (015)",1432,3223,3156,117,97.9,3.6,
"De 35 a 39 años (016)",1361,3981,3877,81,97.4,2,
"De 40 a 44 años (017)",1440,5286,5075,36,96,0.7,
"De 45 a 49 años (018)",1499,6325,5941,7,93.9,0.1,
"De 50 y más años (019)",13218,77768,66868,1,86,,
"Educacion Inicial (020)",513,415,400,22,96.4,5.3,
"De 12 a 14 años (021)",120,1,1,1,100,100,
"De 15 a 19 años (022)",95,5,5,2,100,40,
"De 20 a 24 años (023)",106,82,82,8,100,9.8,
"De 25 a 29 años (024)",75,98,93,3,94.9,3.1,
"De 30 a 34 años (025)",76,147,139,5,94.6,3.4,
"De 35 a 39 años (026)",41,82,80,3,97.6,3.7,
"Primaria (030)",68523,200465,187380,2118,93.5,1.1,
"De 12 a 14 años (031)",8944,47,43,12,91.5,25.5,
"De 15 a 19 años (032)",4796,1045,1020,230,97.6,22,
"De 20 a 24 años (033)",4493,4355,4299,446,98.7,10.2,
"De 25 a 29 años (034)",4880,8282,8148,504,98.4,6.1,
"De 30 a 34 años (035)",5164,12148,11910,442,98,3.6,
"De 35 a 39 años (036)",5279,15450,15044,327,97.4,2.1,
"De 40 a 44 años (037)",5237,18218,17544,136,96.3,0.7,
