"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia SAN ANTONIO DE PUTINA",,,,,,,
"Viviendas particulares (001)",15253,3770,287,204,10358,213,421
"Ocupantes presentes (002)",50282,9280,699,702,37811,474,1316
"Casa independiente",,,,,,,
"Viviendas particulares (004)",11120,3012,103,178,7366,135,326
"Ocupantes presentes (005)",37374,7538,303,628,27529,302,1074
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",18,9,,,6,3,
"Ocupantes presentes (008)",59,27,,,26,6,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",24,13,,,9,2,
"Ocupantes presentes (011)",87,43,,,41,3,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",344,217,,5,108,11,3
"Ocupantes presentes (014)",920,527,,14,356,17,6
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2780,56,115,5,2544,43,17
"Ocupantes presentes (017)",9480,130,243,12,8933,116,46
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",590,270,69,8,204,7,32
"Ocupantes presentes (020)",1502,613,153,28,618,10,80
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",20,3,,,8,6,3
"Ocupantes presentes (023)",52,6,,,24,9,13
"Otro tipo",,,,,,,
"Viviendas particulares (025)",357,190,,8,113,6,40
"Ocupantes presentes (026)",808,396,,20,284,11,97
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",10003,3216,163,189,5956,114,365
"Ocupantes presentes (029)",33473,8148,429,652,22810,241,1193
"Casa independiente",,,,,,,
"Viviendas particulares (031)",8680,2524,94,168,5523,83,288
"Ocupantes presentes (032)",30120,6552,276,590,21510,193,999
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",18,9,,,6,3,
"Ocupantes presentes (035)",59,27,,,26,6,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",24,13,,,9,2,
"Ocupantes presentes (038)",87,43,,,41,3,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",344,217,,5,108,11,3
"Ocupantes presentes (041)",920,527,,14,356,17,6
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",590,270,69,8,204,7,32
"Ocupantes presentes (047)",1502,613,153,28,618,10,80
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",16,3,,,7,3,3
"Ocupantes presentes (050)",42,6,,,20,3,13
"Otro tipo",,,,,,,
"Viviendas particulares (052)",331,180,,8,99,5,39
"Ocupantes presentes (053)",743,380,,20,239,9,95
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5250,554,124,15,4402,99,56
"Ocupantes presentes (056)",16809,1132,270,50,15001,233,123
"Casa independiente",,,,,,,
"Viviendas particulares (058)",2440,488,9,10,1843,52,38
"Ocupantes presentes (059)",7254,986,27,38,6019,109,75
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2780,56,115,5,2544,43,17
"Ocupantes presentes (071)",9480,130,243,12,8933,116,46
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",4,,,,1,3,
"Ocupantes presentes (077)",10,,,,4,6,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",26,10,,,14,1,1
"Ocupantes presentes (080)",65,16,,,45,2,2
