"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AIJA (000)",2904,10001,8786,,157,87.9,1.6
"De 12 a 14 años (001)",252,3,3,,1,100,33.3
"De 15 a 19 años (002)",340,54,52,13,96.3,24.1,
"De 20 a 24 años (003)",291,311,297,44,95.5,14.1,
"De 25 a 29 años (004)",245,460,444,36,96.5,7.8,
"De 30 a 34 años (005)",230,684,653,36,95.5,5.3,
"De 35 a 39 años (006)",236,858,815,20,95,2.3,
"De 40 a 44 años (007)",197,838,792,4,94.5,0.5,
"De 45 a 49 años (008)",205,1048,959,3,91.5,0.3,
"De 50 y más años (009)",908,5745,4771,,83,,
"PEA (010)",581,1735,1585,28,91.4,1.6,
"De 12 a 14 años (011)",16,,,,,,
"De 15 a 19 años (012)",36,4,4,1,100,25,
"De 20 a 24 años (013)",61,48,48,7,100,14.6,
"De 25 a 29 años (014)",79,109,108,6,99.1,5.5,
"De 30 a 34 años (015)",55,118,117,7,99.2,5.9,
"De 35 a 39 años (016)",77,208,200,4,96.2,1.9,
"De 40 a 44 años (017)",65,238,224,1,94.1,0.4,
"De 45 a 49 años (018)",60,254,235,2,92.5,0.8,
"De 50 y más años (019)",132,756,649,,85.8,,
"Ocupada (020)",566,1726,1576,27,91.3,1.6,
"De 12 a 14 años (021)",16,,,,,,
"De 15 a 19 años (022)",32,4,4,1,100,25,
"De 20 a 24 años (023)",57,46,46,7,100,15.2,
"De 25 a 29 años (024)",76,105,104,5,99,4.8,
"De 30 a 34 años (025)",53,115,114,7,99.1,6.1,
"De 35 a 39 años (026)",77,208,200,4,96.2,1.9,
"De 40 a 44 años (027)",64,238,224,1,94.1,0.4,
"De 45 a 49 años (028)",59,254,235,2,92.5,0.8,
"De 50 y más años (029)",132,756,649,,85.8,,
"Desocupada (030)",15,9,9,1,100,11.1,
"De 15 a 19 años (032)",4,,,,,,
"De 20 a 24 años (033)",4,2,2,,100,,
"De 25 a 29 años (034)",3,4,4,1,100,25,
"De 30 a 34 años (035)",2,3,3,,100,,
"De 40 a 44 años (037)",1,,,,,,
"De 45 a 49 años (038)",1,,,,,,
"No PEA (040)",2323,8266,7201,129,87.1,1.6,
"De 12 a 14 años (041)",236,3,3,1,100,33.3,
"De 15 a 19 años (042)",304,50,48,12,96,24,
