"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANGALLO (000)",9608,9278,45,1593,1497,1316,2303,1561,756,207,330,37368
"De 12 a 14 años (001)",11,4,,3,1,,,,,,7,5
"De 15 a 19 años (002)",274,237,3,215,15,3,1,,,,37,258
"De 20 a 24 años (003)",917,823,5,493,247,64,12,2,,,94,1241
"De 25 a 29 años (004)",1061,994,2,292,383,197,111,7,2,,67,2171
"De 30 a 34 años (005)",1055,1017,4,166,268,256,255,60,6,2,38,3019
"De 35 a 39 años (006)",965,946,2,89,164,233,315,116,25,2,19,3459
"De 40 a 44 años (007)",893,883,3,63,80,145,313,197,67,15,10,4064
"De 45 a 49 años (008)",757,744,3,40,57,76,227,207,105,29,13,3913
"De 50 y más años (009)",3675,3630,23,232,282,342,1069,972,551,159,45,19238
"Conviviente (010)",1684,1615,5,581,460,249,214,72,27,7,69,3942
"De 12 a 14 años (011)",6,1,,1,,,,,,,5,1
"De 15 a 19 años (012)",158,126,1,113,9,3,,,,,32,140
"De 20 a 24 años (013)",423,402,2,241,120,35,4,,,,21,602
"De 25 a 29 años (014)",402,395,,136,158,65,30,6,,,7,809
"De 30 a 34 años (015)",265,263,1,44,95,61,51,10,,1,2,708
"De 35 a 39 años (016)",148,147,,18,39,46,35,9,,,1,445
"De 40 a 44 años (017)",99,99,,10,21,23,28,14,1,2,,367
"De 45 a 49 años (018)",60,60,1,6,8,5,21,12,7,,,266
"De 50 y más años (019)",123,122,,12,10,11,45,21,19,4,1,604
"Separado(a) (020)",383,374,,127,79,54,79,30,4,1,9,1031
"De 12 a 14 años (021)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (022)",22,20,,19,1,,,,,,2,21
"De 20 a 24 años (023)",47,44,,33,9,1,1,,,,3,58
