"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PARURO (000)",10652,10342,2475,886,963,951,1860,1522,1024,661,310,39797
"De 12 a 14 años (001)",1246,1221,1213,7,1,,,,,,25,9
"De 15 a 19 años (002)",1076,1034,863,139,27,2,3,,,,42,211
"De 20 a 24 años (003)",847,752,153,300,198,71,27,3,,,95,1041
"De 25 a 29 años (004)",830,780,29,153,242,200,145,9,2,,50,1936
"De 30 a 34 años (005)",883,859,16,61,159,215,296,96,13,3,24,3075
"De 35 a 39 años (006)",922,907,14,48,83,137,333,202,72,18,15,4206
"De 40 a 44 años (007)",969,960,31,35,50,89,279,277,145,54,9,5275
"De 45 a 49 años (008)",713,709,19,20,35,43,158,200,154,80,4,4419
"De 50 y más años (009)",3166,3120,137,123,168,194,619,735,638,506,46,19625
"Conviviente (010)",2952,2850,142,561,542,435,614,314,153,89,102,9949
"De 12 a 14 años (011)",32,8,2,6,,,,,,,24,6
"De 15 a 19 años (012)",189,157,35,99,20,1,2,,,,32,150
"De 20 a 24 años (013)",552,526,38,239,168,59,21,1,,,26,846
"De 25 a 29 años (014)",557,545,10,112,184,142,88,8,1,,12,1349
"De 30 a 34 años (015)",435,433,8,36,81,104,153,46,2,3,2,1519
"De 35 a 39 años (016)",393,392,6,28,33,60,153,84,21,7,1,1749
"De 40 a 44 años (017)",288,288,11,10,20,34,87,74,39,13,,1496
"De 45 a 49 años (018)",161,160,9,6,12,11,37,42,32,11,1,899
"De 50 y más años (019)",345,341,23,25,24,24,73,59,58,55,4,1935
"Separado(a) (020)",172,167,,75,37,18,18,10,7,2,5,423
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",28,25,,23,2,,,,,,3,27
"De 20 a 24 años (023)",31,30,,19,10,1,,,,,1,42
