"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia LIMA (000)",7605742,3713471,3892271,7596058,3708359,3887699,9684,5112,4572
"Menores de 1 año (001)",117970,60208,57762,117806,60133,57673,164,75,89
"Menores de 1 mes (002)",8935,4615,4320,8923,4605,4318,12,10,2
"De 1 a 11 meses (003)",109035,55593,53442,108883,55528,53355,152,65,87
"De 1 a 4 años (004)",516932,264214,252718,516087,263783,252304,845,431,414
"1 año (005)",121803,62531,59272,121614,62435,59179,189,96,93
"2 años (006)",134368,68249,66119,134150,68134,66016,218,115,103
"3 años (007)",133876,68322,65554,133649,68211,65438,227,111,116
"4 años (008)",126885,65112,61773,126674,65003,61671,211,109,102
"De 5 a 9 años (009)",608802,311466,297336,607906,311017,296889,896,449,447
"5 años (010)",120649,61834,58815,120466,61729,58737,183,105,78
"6 años (011)",119099,60731,58368,118916,60646,58270,183,85,98
"7 años (012)",124292,63732,60560,124123,63652,60471,169,80,89
"8 años (013)",125102,63910,61192,124903,63815,61088,199,95,104
"9 años (014)",119660,61259,58401,119498,61175,58323,162,84,78
"De 10 a 14 años (015)",659395,333353,326042,658403,332850,325553,992,503,489
"10 años (016)",130838,66575,64263,130649,66478,64171,189,97,92
"11 años (017)",129929,66054,63875,129704,65934,63770,225,120,105
"12 años (018)",133876,67838,66038,133683,67737,65946,193,101,92
"13 años (019)",129881,65472,64409,129682,65375,64307,199,97,102
"14 años (020)",134871,67414,67457,134685,67326,67359,186,88,98
"De 15 a 19 años (021)",718456,353145,365311,717489,352660,364829,967,485,482
"15 años (022)",138579,68020,70559,138359,67904,70455,220,116,104
"16 años (023)",129535,63141,66394,129332,63039,66293,203,102,101
"17 años (024)",138763,68486,70277,138597,68414,70183,166,72,94
"18 años (025)",153143,76055,77088,152969,75959,77010,174,96,78
"19 años (026)",158436,77443,80993,158232,77344,80888,204,99,105
"De 20 a 24 años (027)",762298,373679,388619,761325,373137,388188,973,542,431
"20 años (028)",161931,79309,82622,161715,79192,82523,216,117,99
"21 años (029)",141887,69331,72556,141737,69248,72489,150,83,67
"22 años (030)",152708,75626,77082,152526,75529,76997,182,97,85
"23 años (031)",151651,73884,77767,151453,73778,77675,198,106,92
"24 años (032)",154121,75529,78592,153894,75390,78504,227,139,88
"De 25 a 29 años (033)",712581,346688,365893,711711,346238,365473,870,450,420
"25 años (034)",153067,74580,78487,152874,74482,78392,193,98,95
"26 años (035)",140084,67844,72240,139935,67772,72163,149,72,77
"27 años (036)",149116,73374,75742,148928,73281,75647,188,93,95
"28 años (037)",138767,67637,71130,138590,67536,71054,177,101,76
"29 años (038)",131547,63253,68294,131384,63167,68217,163,86,77
