"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CARAVELI (000)",8597,53,194,451,835,1837,3127,2100
"De 12 a 14 años (001)",10,,,,,,,10
"De 15 a 19 años (002)",236,,,,,,146,90
"De 20 a 24 años (003)",1071,,,,,2,660,409
"De 25 a 29 años (004)",1217,,,,,72,794,351
"De 30 a 34 años (005)",1195,,,,2,230,670,293
"De 35 a 39 años (006)",1102,,,,10,423,493,176
"De 40 a 44 años (007)",868,,,,77,410,249,132
"De 45 a 49 años (008)",687,,,4,128,363,99,93
"De 50 y más años (009)",2211,53,194,447,618,337,16,546
"Sin nivel (010)",1198,23,75,154,206,250,184,306
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",2,,,,,,2,
"De 20 a 24 años (013)",16,,,,,,10,6
"De 25 a 29 años (014)",39,,,,,5,22,12
"De 30 a 34 años (015)",91,,,,1,19,49,22
"De 35 a 39 años (016)",111,,,,1,42,50,18
"De 40 a 44 años (017)",99,,,,11,44,29,15
"De 45 a 49 años (018)",99,,,,10,52,17,20
"De 50 y más años (019)",740,23,75,154,183,88,5,212
"Educacion Inicial (020)",13,,,,,1,6,6
"De 15 a 19 años (022)",2,,,,,,1,1
"De 20 a 24 años (023)",1,,,,,,1,
"De 25 a 29 años (024)",3,,,,,,2,1
"De 30 a 34 años (025)",2,,,,,,,2
"De 35 a 39 años (026)",5,,,,,1,2,2
"Primaria (030)",2223,19,80,172,312,568,663,409
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",39,,,,,,21,18
"De 20 a 24 años (033)",114,,,,,1,73,40
"De 25 a 29 años (034)",226,,,,,12,160,54
"De 30 a 34 años (035)",272,,,,,48,165,59
"De 35 a 39 años (036)",276,,,,1,128,120,27
"De 40 a 44 años (037)",246,,,,25,111,81,29
"De 45 a 49 años (038)",242,,,,50,133,35,24
"De 50 y más años (039)",806,19,80,172,236,135,8,156
"Secundaria (040)",3059,4,20,59,180,564,1464,768
"De 12 a 14 años (041)",7,,,,,,,7
"De 15 a 19 años (042)",172,,,,,,111,61
"De 20 a 24 años (043)",643,,,,,,418,225
"De 25 a 29 años (044)",630,,,,,39,432,159
"De 30 a 34 años (045)",466,,,,1,93,265,107
"De 35 a 39 años (046)",371,,,,7,146,159,59
"De 40 a 44 años (047)",274,,,,25,140,60,49
"De 45 a 49 años (048)",166,,,1,38,89,17,21
"De 50 y más años (049)",330,4,20,58,109,57,2,80
"Sup. no Univ. incompleta (050)",540,1,1,11,28,107,235,157
"De 15 a 19 años (052)",12,,,,,,7,5
