"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANCAVELICA (000)",45014,6482,40,15571,13119,1095,3507,988,4212
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",105,1,,10,22,7,21,1,43
"Profes., científicos e intelectuales (002)",4495,,,,104,93,1440,135,2723
"Técnicos de nivel medio ytrab.asimilados (003)",1310,3,,22,188,130,566,131,270
"Jefes y empleados de oficina (004)",1395,,,10,295,100,401,123,466
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",3191,203,,723,1328,185,327,176,249
"Agricult.trabaj. calif.agrop. y pesquros (006)",14821,3270,10,7425,3805,116,93,38,64
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2892,455,5,1016,1030,94,144,58,90
"Obreros. construc., conf., papel, fab., instr (008)",1804,23,,373,988,98,149,96,77
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",14001,2427,23,5744,4978,234,264,172,159
"Otra (010)",243,,,,90,23,53,37,40
"Ocupación no especificada (011)",757,100,2,248,291,15,49,21,31
"Hombres (012)",27589,2357,15,9716,9674,733,1940,670,2484
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",89,1,,9,17,7,20,1,34
"Profes., científicos e intelectuales (014)",2464,,,,48,46,719,91,1560
"Técnicos de nivel medio ytrab.asimilados (015)",856,3,,15,147,94,336,96,165
"Jefes y empleados de oficina (016)",750,,,8,200,55,167,60,260
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1300,18,,235,637,84,123,90,113
"Agricult.trabaj. calif.agrop. y pesquros (018)",12100,1953,6,6380,3481,102,85,33,60
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1570,38,2,402,809,82,118,47,72
"Obreros. construc., conf., papel, fab., instr (020)",1769,21,,365,974,95,145,94,75
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",6004,309,6,2153,3047,139,156,108,86
"Otra (022)",221,,,,82,20,47,33,39
"Ocupación no especificada (023)",466,14,1,149,232,9,24,17,20
"Mujeres (024)",17425,4125,25,5855,3445,362,1567,318,1728
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",16,,,1,5,,1,,9
"Profes., científicos e intelectuales (026)",2031,,,,56,47,721,44,1163
"Técnicos de nivel medio ytrab.asimilados (027)",454,,,7,41,36,230,35,105
"Jefes y empleados de oficina (028)",645,,,2,95,45,234,63,206
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",1891,185,,488,691,101,204,86,136
"Agricult.trabaj. calif.agrop. y pesquros (030)",2721,1317,4,1045,324,14,8,5,4
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",1322,417,3,614,221,12,26,11,18
"Obreros. construc., conf., papel, fab., instr (032)",35,2,,8,14,3,4,2,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",7997,2118,17,3591,1931,95,108,64,73
"Otra (034)",22,,,,8,3,6,4,1
"Ocupación no especificada (035)",291,86,1,99,59,6,25,4,11
,,,,,,,,,
"URBANA (036)",18471,840,8,3102,5704,882,3148,889,3898
