"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUALLAGA (000)",8314,23667,21672,,439,91.6,1.9
"De 12 a 14 años (001)",862,9,8,,2,88.9,22.2
"De 15 a 19 años (002)",1135,341,332,75,97.4,22,
"De 20 a 24 años (003)",977,1153,1133,130,98.3,11.3,
"De 25 a 29 años (004)",863,1706,1664,83,97.5,4.9,
"De 30 a 34 años (005)",820,2234,2159,84,96.6,3.8,
"De 35 a 39 años (006)",784,2689,2538,41,94.4,1.5,
"De 40 a 44 años (007)",670,2668,2517,20,94.3,0.7,
"De 45 a 49 años (008)",562,2519,2325,4,92.3,0.2,
"De 50 y más años (009)",1641,10348,8996,,86.9,,
"Sin nivel (010)",661,4014,3399,39,84.7,1,
"De 12 a 14 años (011)",11,1,1,1,100,100,
"De 15 a 19 años (012)",20,10,10,3,100,30,
"De 20 a 24 años (013)",35,59,57,10,96.6,16.9,
"De 25 a 29 años (014)",35,90,84,4,93.3,4.4,
"De 30 a 34 años (015)",40,150,140,4,93.3,2.7,
"De 35 a 39 años (016)",62,310,274,8,88.4,2.6,
"De 40 a 44 años (017)",65,393,352,8,89.6,2,
"De 45 a 49 años (018)",74,455,409,1,89.9,0.2,
"De 50 y más años (019)",319,2546,2072,,81.4,,
"Educacion Inicial (020)",14,24,23,2,95.8,8.3,
"De 12 a 14 años (021)",3,,,,,,
"De 15 a 19 años (022)",3,1,1,,100,,
"De 20 a 24 años (023)",1,3,3,1,100,33.3,
"De 25 a 29 años (024)",2,3,3,,100,,
"De 30 a 34 años (025)",3,6,6,,100,,
"De 35 a 39 años (026)",2,11,10,1,90.9,9.1,
"Primaria (030)",4533,15105,13900,257,92,1.7,
"De 12 a 14 años (031)",532,7,6,1,85.7,14.3,
"De 15 a 19 años (032)",446,231,223,49,96.5,21.2,
"De 20 a 24 años (033)",481,718,706,75,98.3,10.4,
"De 25 a 29 años (034)",468,1134,1109,55,97.8,4.9,
"De 30 a 34 años (035)",465,1421,1367,45,96.2,3.2,
"De 35 a 39 años (036)",412,1643,1560,22,94.9,1.3,
"De 40 a 44 años (037)",357,1611,1532,7,95.1,0.4,
"De 45 a 49 años (038)",299,1512,1387,3,91.7,0.2,
"De 50 y más años (039)",1073,6828,6010,,88,,
