"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN ROMAN (000)",60718,243,793,2544,6379,12971,21059,16729
"De 12 a 14 años (001)",67,,,,,,1,66
"De 15 a 19 años (002)",956,,,,,,509,447
"De 20 a 24 años (003)",6292,,,,,8,3234,3050
"De 25 a 29 años (004)",8770,,,,,380,5161,3229
"De 30 a 34 años (005)",9164,,,,1,1489,5250,2424
"De 35 a 39 años (006)",8506,,,,80,2819,3929,1678
"De 40 a 44 años (007)",7030,,,,524,3047,2046,1413
"De 45 a 49 años (008)",5738,,,33,1197,2667,780,1061
"De 50 y más años (009)",14195,243,793,2511,4577,2561,149,3361
"PEA (010)",30586,38,208,976,3361,7458,10075,8470
"De 12 a 14 años (011)",7,,,,,,,7
"De 15 a 19 años (012)",318,,,,,,167,151
"De 20 a 24 años (013)",2670,,,,,5,1285,1380
"De 25 a 29 años (014)",4294,,,,,219,2322,1753
"De 30 a 34 años (015)",4837,,,,1,831,2578,1427
"De 35 a 39 años (016)",4767,,,,56,1608,2091,1012
"De 40 a 44 años (017)",4146,,,,331,1834,1144,837
"De 45 a 49 años (018)",3340,,,19,714,1572,421,614
"De 50 y más años (019)",6207,38,208,957,2259,1389,67,1289
"Ocupada (020)",29200,38,199,961,3295,7228,9579,7900
"De 12 a 14 años (021)",6,,,,,,,6
"De 15 a 19 años (022)",288,,,,,,154,134
"De 20 a 24 años (023)",2438,,,,,4,1186,1248
"De 25 a 29 años (024)",3946,,,,,204,2188,1554
"De 30 a 34 años (025)",4571,,,,1,794,2432,1344
"De 35 a 39 años (026)",4574,,,,52,1552,2021,949
"De 40 a 44 años (027)",4036,,,,320,1787,1118,811
"De 45 a 49 años (028)",3242,,,19,698,1519,415,591
"De 50 y más años (029)",6099,38,199,942,2224,1368,65,1263
"Desocupada (030)",1386,,9,15,66,230,496,570
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",30,,,,,,13,17
"De 20 a 24 años (033)",232,,,,,1,99,132
"De 25 a 29 años (034)",348,,,,,15,134,199
"De 30 a 34 años (035)",266,,,,,37,146,83
"De 35 a 39 años (036)",193,,,,4,56,70,63
"De 40 a 44 años (037)",110,,,,11,47,26,26
"De 45 a 49 años (038)",98,,,,16,53,6,23
"De 50 y más años (039)",108,,9,15,35,21,2,26
"No PEA (040)",30132,205,585,1568,3018,5513,10984,8259
"De 12 a 14 años (041)",60,,,,,,1,59
"De 15 a 19 años (042)",638,,,,,,342,296
"De 20 a 24 años (043)",3622,,,,,3,1949,1670
"De 25 a 29 años (044)",4476,,,,,161,2839,1476
