"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PIURA (000)",175996,162074,688,35598,35939,29081,32291,16306,8325,3846,13922,552995
"De 12 a 14 años (001)",193,82,7,59,16,,,,,,111,91
"De 15 a 19 años (002)",4200,3529,45,3038,378,53,15,,,,671,4013
"De 20 a 24 años (003)",18509,14244,93,9091,3967,904,169,20,,,4265,20569
"De 25 a 29 años (004)",23610,19988,77,7899,7142,3346,1420,92,12,,3622,38889
"De 30 a 34 años (005)",22807,21156,77,4964,6993,4969,3584,500,61,8,1651,52892
"De 35 a 39 años (006)",21553,20481,59,3067,5462,5251,5074,1320,210,38,1072,62306
"De 40 a 44 años (007)",19338,18596,62,2137,4072,4499,5193,1949,536,148,742,65020
"De 45 a 49 años (008)",16861,16304,51,1705,2923,3491,4697,2272,899,266,557,63606
"De 50 y más años (009)",48925,47694,217,3638,4986,6568,12139,10153,6607,3386,1231,245609
"Conviviente (010)",46419,45012,217,13769,12069,7675,7145,2601,1106,430,1407,122653
"De 12 a 14 años (011)",132,42,6,30,6,,,,,,90,42
"De 15 a 19 años (012)",2839,2342,26,2014,272,25,5,,,,497,2653
"De 20 a 24 años (013)",8583,8144,51,4967,2439,566,106,15,,,439,12076
"De 25 a 29 años (014)",9673,9480,42,3376,3562,1718,732,44,6,,193,19075
"De 30 a 34 años (015)",7839,7775,29,1583,2587,1911,1458,184,21,2,64,20076
"De 35 a 39 años (016)",5807,5770,20,725,1485,1527,1562,386,52,13,37,18086
"De 40 a 44 años (017)",4072,4044,13,423,824,862,1250,510,134,28,28,14833
"De 45 a 49 años (018)",2725,2702,6,269,409,482,829,463,195,49,23,11314
"De 50 y más años (019)",4749,4713,24,382,485,584,1203,999,698,338,36,24498
