"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ANDAHUAYLAS (000)",53370,155305,138447,,2721,89.1,1.8
"De 12 a 14 años (001)",6122,29,27,,5,93.1,17.2
"De 15 a 19 años (002)",7791,965,942,295,97.6,30.6,
"De 20 a 24 años (003)",5619,5150,5054,662,98.1,12.9,
"De 25 a 29 años (004)",5100,9209,9011,646,97.8,7,
"De 30 a 34 años (005)",4940,13642,13178,544,96.6,4,
"De 35 a 39 años (006)",4724,17553,16682,359,95,2,
"De 40 a 44 años (007)",3815,17530,16213,162,92.5,0.9,
"De 45 a 49 años (008)",3094,16695,15180,46,90.9,0.3,
"De 50 y más años (009)",12165,74532,62160,2,83.4,,
"Conviviente (010)",8526,19536,18461,1159,94.5,5.9,
"De 12 a 14 años (011)",74,17,15,2,88.2,11.8,
"De 15 a 19 años (012)",914,593,576,199,97.1,33.6,
"De 20 a 24 años (013)",2166,2731,2685,390,98.3,14.3,
"De 25 a 29 años (014)",1851,3389,3333,273,98.3,8.1,
"De 30 a 34 años (015)",1345,3442,3349,177,97.3,5.1,
"De 35 a 39 años (016)",827,2798,2682,86,95.9,3.1,
"De 40 a 44 años (017)",482,1949,1834,26,94.1,1.3,
"De 45 a 49 años (018)",289,1377,1249,6,90.7,0.4,
"De 50 y más años (019)",578,3240,2738,,84.5,,
"Separado(a) (020)",1898,5059,4722,122,93.3,2.4,
"De 12 a 14 años (021)",5,3,3,2,100,66.7,
"De 15 a 19 años (022)",106,96,93,31,96.9,32.3,
"De 20 a 24 años (023)",278,363,361,40,99.4,11,
"De 25 a 29 años (024)",250,405,401,28,99,6.9,
"De 30 a 34 años (025)",250,527,514,9,97.5,1.7,
"De 35 a 39 años (026)",263,686,660,7,96.2,1,
"De 40 a 44 años (027)",193,616,582,5,94.5,0.8,
"De 45 a 49 años (028)",169,610,572,,93.8,,
"De 50 y más años (029)",384,1753,1536,,87.6,,
"Casado(a) (030)",20744,100555,90698,1316,90.2,1.3,
"De 12 a 14 años (031)",10,,,,,,
"De 15 a 19 años (032)",211,173,172,44,99.4,25.4,
"De 20 a 24 años (033)",1061,1768,1722,187,97.4,10.6,
"De 25 a 29 años (034)",2028,5041,4912,323,97.4,6.4,
"De 30 a 34 años (035)",2725,9063,8720,337,96.2,3.7,
