"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUAROCHIRI (000)",32373,5468,8891,13638,451,3123,802
"Agric., ganadería, caza y silvicultura (001)",11645,21,1777,7024,188,2635,
"Pesca (002)",16,3,6,5,,2,
"Explotación de minas y canteras (003)",3931,426,3309,190,6,,
"Industrias manufactureras (004)",1437,115,727,557,27,11,
"Suministro de electricidad, gas y agua (005)",91,29,60,1,1,,
"Construcción (006)",1710,90,1295,302,16,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3727,527,245,2576,85,294,
"Venta, mant.y rep. veh.autom y motoc. (008)",498,64,211,200,16,7,
"Comercio al por mayor (009)",144,45,2,76,6,15,
"Comercio al por menor (010)",3085,418,32,2300,63,272,
"Hoteles y restaurantes (011)",1390,467,136,694,48,45,
"Trans., almac. y comunicaciones (012)",2133,407,572,1103,34,17,
"Intermediación financiera (013)",35,27,4,3,1,,
"Activid.inmobil., empres. y alquileres (014)",870,605,121,123,17,4,
"Admin.pub. y defensa; p. segur soc.afil (015)",876,747,129,,,,
"Enseñanza (016)",1330,1198,1,127,2,2,
"Servicios sociales y de salud (017)",400,330,22,47,1,,
"Otras activ. serv.comun.soc y personales (018)",1177,327,233,591,11,15,
"Hogares privados con servicio doméstico (019)",802,,,,,,802
"Actividad economica no especificada (021)",803,149,254,295,14,91,
"Hombres (022)",22050,3105,7931,9392,315,1276,31
"Agric., ganadería, caza y silvicultura (023)",8133,18,1344,5504,145,1122,
"Pesca (024)",12,3,4,4,,1,
"Explotación de minas y canteras (025)",3874,391,3287,190,6,,
"Industrias manufactureras (026)",1005,73,525,382,22,3,
"Suministro de electricidad, gas y agua (027)",88,26,60,1,1,,
"Construcción (028)",1679,77,1285,296,15,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1698,244,232,1100,41,81,
"Venta, mant.y rep. veh.autom y motoc. (030)",460,48,202,192,14,4,
"Comercio al por mayor (031)",74,27,,43,3,1,
"Comercio al por menor (032)",1164,169,30,865,24,76,
"Hoteles y restaurantes (033)",410,171,56,146,19,18,
"Trans., almac. y comunicaciones (034)",2025,348,557,1077,31,12,
"Intermediación financiera (035)",26,20,4,2,,,
"Activid.inmobil., empres. y alquileres (036)",632,422,97,95,15,3,
"Admin.pub. y defensa; p. segur soc.afil (037)",570,471,99,,,,
"Enseñanza (038)",532,484,1,45,1,1,
"Servicios sociales y de salud (039)",124,86,7,30,1,,
"Otras activ. serv.comun.soc y personales (040)",796,192,195,394,9,6,
"Hogares privados con servicio doméstico (041)",31,,,,,,31
"Actividad economica no especificada (043)",415,79,178,126,9,23,
"Mujeres (044)",10323,2363,960,4246,136,1847,771
"Agric., ganadería, caza y silvicultura (045)",3512,3,433,1520,43,1513,
"Pesca (046)",4,,2,1,,1,
"Explotación de minas y canteras (047)",57,35,22,,,,
"Industrias manufactureras (048)",432,42,202,175,5,8,
"Suministro de electricidad, gas y agua (049)",3,3,,,,,
"Construcción (050)",31,13,10,6,1,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2029,283,13,1476,44,213,
"Venta, mant.y rep. veh.autom y motoc. (052)",38,16,9,8,2,3,
"Comercio al por mayor (053)",70,18,2,33,3,14,
"Comercio al por menor (054)",1921,249,2,1435,39,196,
"Hoteles y restaurantes (055)",980,296,80,548,29,27,
"Trans., almac. y comunicaciones (056)",108,59,15,26,3,5,
"Intermediación financiera (057)",9,7,,1,1,,
"Activid.inmobil., empres. y alquileres (058)",238,183,24,28,2,1,
"Admin.pub. y defensa; p. segur soc.afil (059)",306,276,30,,,,
"Enseñanza (060)",798,714,,82,1,1,
"Servicios sociales y de salud (061)",276,244,15,17,,,
"Otras activ. serv.comun.soc y personales (062)",381,135,38,197,2,9,
"Hogares privados con servicio doméstico (063)",771,,,,,,771
"Actividad economica no especificada (065)",388,70,76,169,5,68,
,,,,,,,
"URBANA (066)",21142,4445,5134,8921,291,1779,572
"Agric., ganadería, caza y silvicultura (067)",6308,9,827,3995,83,1394,
"Pesca (068)",9,3,4,1,,1,
"Explotación de minas y canteras (069)",1655,193,1435,25,2,,
"Industrias manufactureras (070)",1125,99,573,420,22,11,
"Suministro de electricidad, gas y agua (071)",69,29,38,1,1,,
"Construcción (072)",1333,75,994,246,13,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3024,443,186,2086,64,245,
"Venta, mant.y rep. veh.autom y motoc. (074)",386,47,156,165,13,5,
"Comercio al por mayor (075)",113,34,2,59,6,12,
"Comercio al por menor (076)",2525,362,28,1862,45,228,
"Hoteles y restaurantes (077)",1076,346,113,541,37,39,
"Trans., almac. y comunicaciones (078)",1730,352,469,867,26,16,
"Intermediación financiera (079)",33,25,4,3,1,,
"Activid.inmobil., empres. y alquileres (080)",684,468,96,101,16,3,
"Admin.pub. y defensa; p. segur soc.afil (081)",738,647,91,,,,
"Enseñanza (082)",1181,1069,1,109,1,1,
"Servicios sociales y de salud (083)",337,282,20,34,1,,
"Otras activ. serv.comun.soc y personales (084)",753,285,140,308,11,9,
"Hogares privados con servicio doméstico (085)",572,,,,,,572
"Actividad economica no especificada (087)",515,120,143,184,13,55,
"Hombres (088)",13613,2424,4500,5812,190,666,21
"Agric., ganadería, caza y silvicultura (089)",4217,7,572,3035,57,546,
"Pesca (090)",7,3,2,1,,1,
"Explotación de minas y canteras (091)",1622,172,1423,25,2,,
"Industrias manufactureras (092)",781,64,412,284,18,3,
"Suministro de electricidad, gas y agua (093)",66,26,38,1,1,,
"Construcción (094)",1307,63,987,240,12,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1381,199,180,906,32,64,
"Venta, mant.y rep. veh.autom y motoc. (096)",362,35,154,159,11,3,
"Comercio al por mayor (097)",56,23,,29,3,1,
"Comercio al por menor (098)",963,141,26,718,18,60,
"Hoteles y restaurantes (099)",300,125,43,105,11,16,
"Trans., almac. y comunicaciones (100)",1636,302,456,844,23,11,
"Intermediación financiera (101)",24,18,4,2,,,
"Activid.inmobil., empres. y alquileres (102)",477,305,78,78,14,2,
"Admin.pub. y defensa; p. segur soc.afil (103)",473,405,68,,,,
"Enseñanza (104)",477,432,1,43,1,,
"Servicios sociales y de salud (105)",101,73,5,22,1,,
"Otras activ. serv.comun.soc y personales (106)",462,168,122,161,9,2,
"Hogares privados con servicio doméstico (107)",21,,,,,,21
"Actividad economica no especificada (109)",261,62,109,65,9,16,
"Mujeres (110)",7529,2021,634,3109,101,1113,551
"Agric., ganadería, caza y silvicultura (111)",2091,2,255,960,26,848,
"Pesca (112)",2,,2,,,,
"Explotación de minas y canteras (113)",33,21,12,,,,
"Industrias manufactureras (114)",344,35,161,136,4,8,
"Suministro de electricidad, gas y agua (115)",3,3,,,,,
"Construcción (116)",26,12,7,6,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1643,244,6,1180,32,181,
