"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia ANTA (000)",54828,54240,370,218
"Hombres (001)",27608,27388,116,104
"Mujeres (002)",27220,26852,254,114
"Menores de 1 año (003)",760,653,50,57
"Hombres (004)",369,324,20,25
"Mujeres (005)",391,329,30,32
"De 1 a 5 años (006)",5706,5486,82,138
"Hombres (007)",2957,2844,42,71
"Mujeres (008)",2749,2642,40,67
"De 6 a 14 años (009)",13218,13209,4,5
"Hombres (010)",6880,6874,3,3
"Mujeres (011)",6338,6335,1,2
"De 15 a 29 años (012)",12697,12692,5,
"Hombres (013)",6522,6520,2,
"Mujeres (014)",6175,6172,3,
"De 30 a 44 años (015)",9745,9737,7,1
"Hombres (016)",4738,4735,3,
"Mujeres (017)",5007,5002,4,1
"De 45 a 64 años (018)",8193,8138,50,5
"Hombres (019)",4078,4065,11,2
"Mujeres (020)",4115,4073,39,3
"De 65 a más años (021)",4509,4325,172,12
"Hombres (022)",2064,2026,35,3
"Mujeres (023)",2445,2299,137,9
,,,,
"URBANA (024)",19386,19163,150,73
"Hombres (025)",9601,9523,40,38
"Mujeres (026)",9785,9640,110,35
"Menores de 1 año (027)",290,244,23,23
"Hombres (028)",153,131,9,13
"Mujeres (029)",137,113,14,10
"De 1 a 5 años (030)",1908,1813,47,48
"Hombres (031)",976,927,24,25
"Mujeres (032)",932,886,23,23
"De 6 a 14 años (033)",4569,4567,2,
"Hombres (034)",2343,2342,1,
"Mujeres (035)",2226,2225,1,
"De 15 a 29 años (036)",4684,4682,2,
"Hombres (037)",2357,2357,,
"Mujeres (038)",2327,2325,2,
"De 30 a 44 años (039)",3636,3633,3,
"Hombres (040)",1719,1718,1,
"Mujeres (041)",1917,1915,2,
"De 45 a 64 años (042)",2754,2738,16,
"Hombres (043)",1367,1366,1,
"Mujeres (044)",1387,1372,15,
"De 65 a más años (045)",1545,1486,57,2
"Hombres (046)",686,682,4,
"Mujeres (047)",859,804,53,2
,,,,
"RURAL (048)",35442,35077,220,145
"Hombres (049)",18007,17865,76,66
"Mujeres (050)",17435,17212,144,79
"Menores de 1 año (051)",470,409,27,34
"Hombres (052)",216,193,11,12
"Mujeres (053)",254,216,16,22
"De 1 a 5 años (054)",3798,3673,35,90
"Hombres (055)",1981,1917,18,46
"Mujeres (056)",1817,1756,17,44
"De 6 a 14 años (057)",8649,8642,2,5
"Hombres (058)",4537,4532,2,3
"Mujeres (059)",4112,4110,,2
"De 15 a 29 años (060)",8013,8010,3,
"Hombres (061)",4165,4163,2,
"Mujeres (062)",3848,3847,1,
"De 30 a 44 años (063)",6109,6104,4,1
"Hombres (064)",3019,3017,2,
"Mujeres (065)",3090,3087,2,1
"De 45 a 64 años (066)",5439,5400,34,5
"Hombres (067)",2711,2699,10,2
"Mujeres (068)",2728,2701,24,3
"De 65 a más años (069)",2964,2839,115,10
"Hombres (070)",1378,1344,31,3
"Mujeres (071)",1586,1495,84,7
