"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PARINACOCHAS (000)",10001,7612,1055,710,624
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",46,,11,2,33
"Profes., científicos e intelectuales (002)",1185,304,397,317,167
"Técnicos de nivel medio y trab. asimilados (003)",288,120,29,41,98
"Jefes y empleados de oficina (004)",268,44,24,37,163
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",795,713,30,31,21
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2519,2440,79,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1148,885,149,99,15
"Obreros construc.,conf.,papel, fab., instr. (008)",399,264,75,43,17
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2987,2557,231,117,82
"Otra (010)",20,,,,20
"Ocupación no especificada (011)",346,285,30,23,8
"Hombres (012)",6788,5093,753,539,403
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",35,,4,1,30
"Profes., científicos e intelectuales (014)",645,147,214,199,85
"Técnicos de nivel medio y trab. asimilados (015)",178,76,24,34,44
"Jefes y empleados de oficina (016)",148,21,15,18,94
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",299,247,12,21,19
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2003,1939,64,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1013,767,135,96,15
"Obreros construc.,conf.,papel, fab., instr. (020)",384,252,72,43,17
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1839,1470,190,107,72
"Otra (022)",20,,,,20
"Ocupación no especificada (023)",224,174,23,20,7
"Mujeres (024)",3213,2519,302,171,221
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,,7,1,3
"Profes., científicos e intelectuales (026)",540,157,183,118,82
"Técnicos de nivel medio y trab. asimilados (027)",110,44,5,7,54
"Jefes y empleados de oficina (028)",120,23,9,19,69
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",496,466,18,10,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",516,501,15,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",135,118,14,3,
"Obreros construc.,conf.,papel, fab., instr. (032)",15,12,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1148,1087,41,10,10
