"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CONTUMAZA (000)",8542,105,355,719,1124,1713,2839,1687
"De 12 a 14 años (001)",8,,,,,,1,7
"De 15 a 19 años (002)",217,,,,,,147,70
"De 20 a 24 años (003)",793,,,,,2,525,266
"De 25 a 29 años (004)",886,,,,,58,601,227
"De 30 a 34 años (005)",1007,,,,,170,642,195
"De 35 a 39 años (006)",949,,,,7,284,501,157
"De 40 a 44 años (007)",848,,,,62,378,287,121
"De 45 a 49 años (008)",798,,,5,170,407,111,105
"De 50 y más años (009)",3036,105,355,714,885,414,24,539
"PEA (010)",1656,4,19,66,202,461,476,428
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",21,,,,,,11,10
"De 20 a 24 años (013)",113,,,,,1,51,61
"De 25 a 29 años (014)",168,,,,,10,90,68
"De 30 a 34 años (015)",246,,,,,51,122,73
"De 35 a 39 años (016)",268,,,,3,92,117,56
"De 40 a 44 años (017)",237,,,,16,115,65,41
"De 45 a 49 años (018)",221,,,1,50,112,17,41
"De 50 y más años (019)",381,4,19,65,133,80,3,77
"Ocupada (020)",1584,4,19,63,199,447,455,397
"De 15 a 19 años (022)",19,,,,,,10,9
"De 20 a 24 años (023)",95,,,,,1,47,47
"De 25 a 29 años (024)",155,,,,,7,84,64
"De 30 a 34 años (025)",233,,,,,48,120,65
"De 35 a 39 años (026)",256,,,,3,88,111,54
"De 40 a 44 años (027)",234,,,,16,115,63,40
"De 45 a 49 años (028)",217,,,1,49,109,17,41
"De 50 y más años (029)",375,4,19,62,131,79,3,77
"Desocupada (030)",72,,,3,3,14,21,31
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",2,,,,,,1,1
"De 20 a 24 años (033)",18,,,,,,4,14
"De 25 a 29 años (034)",13,,,,,3,6,4
"De 30 a 34 años (035)",13,,,,,3,2,8
"De 35 a 39 años (036)",12,,,,,4,6,2
"De 40 a 44 años (037)",3,,,,,,2,1
"De 45 a 49 años (038)",4,,,,1,3,,
"De 50 y más años (039)",6,,,3,2,1,,
"No PEA (040)",6886,101,336,653,922,1252,2363,1259
"De 12 a 14 años (041)",7,,,,,,1,6
"De 15 a 19 años (042)",196,,,,,,136,60
"De 20 a 24 años (043)",680,,,,,1,474,205
"De 25 a 29 años (044)",718,,,,,48,511,159
"De 30 a 34 años (045)",761,,,,,119,520,122
"De 35 a 39 años (046)",681,,,,4,192,384,101
"De 40 a 44 años (047)",611,,,,46,263,222,80
"De 45 a 49 años (048)",577,,,4,120,295,94,64
