"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUAMALIES (000)",22419,71189,62199,,1358,87.4,1.9
"De 12 a 14 años (001)",2844,13,13,,2,100,15.4
"De 15 a 19 años (002)",3080,643,624,181,97,28.1,
"De 20 a 24 años (003)",2442,2631,2565,323,97.5,12.3,
"De 25 a 29 años (004)",2139,4409,4257,287,96.6,6.5,
"De 30 a 34 años (005)",1950,6029,5721,229,94.9,3.8,
"De 35 a 39 años (006)",1991,8252,7697,222,93.3,2.7,
"De 40 a 44 años (007)",1775,9335,8507,99,91.1,1.1,
"De 45 a 49 años (008)",1376,8443,7529,15,89.2,0.2,
"De 50 y más años (009)",4822,31434,25286,,80.4,,
"Conviviente (010)",6667,20974,19338,865,92.2,4.1,
"De 12 a 14 años (011)",40,6,6,,100,,
"De 15 a 19 años (012)",557,431,418,115,97,26.7,
"De 20 a 24 años (013)",1350,1932,1890,253,97.8,13.1,
"De 25 a 29 años (014)",1288,2942,2837,203,96.4,6.9,
"De 30 a 34 años (015)",989,3310,3144,132,95,4,
"De 35 a 39 años (016)",868,3714,3472,106,93.5,2.9,
"De 40 a 44 años (017)",627,3239,2962,53,91.4,1.6,
"De 45 a 49 años (018)",361,2064,1844,3,89.3,0.1,
"De 50 y más años (019)",587,3336,2765,,82.9,,
"Separado(a) (020)",1015,3379,3013,62,89.2,1.8,
"De 12 a 14 años (021)",1,1,1,1,100,100,
"De 15 a 19 años (022)",48,46,46,14,100,30.4,
"De 20 a 24 años (023)",129,183,178,17,97.3,9.3,
"De 25 a 29 años (024)",135,269,257,12,95.5,4.5,
"De 30 a 34 años (025)",123,282,270,8,95.7,2.8,
"De 35 a 39 años (026)",136,441,407,8,92.3,1.8,
"De 40 a 44 años (027)",101,402,365,2,90.8,0.5,
"De 45 a 49 años (028)",92,454,398,,87.7,,
"De 50 y más años (029)",250,1301,1091,,83.9,,
"Casado(a) (030)",5759,34281,29810,321,87,0.9,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",39,41,38,9,92.7,22,
"De 20 a 24 años (033)",167,301,288,26,95.7,8.6,
"De 25 a 29 años (034)",336,938,911,53,97.1,5.7,
"De 30 a 34 años (035)",565,2112,1995,76,94.5,3.6,
"De 35 a 39 años (036)",769,3718,3473,101,93.4,2.7,
