"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SIHUAS (000)",8288,6756,611,319,602
"Agric., ganadería, caza y silvicultura (001)",5404,5161,205,31,7
"Explotación de minas y canteras (003)",26,6,4,16,
"Industrias manufactureras (004)",148,128,14,4,2
"Suministro de electricidad, gas y agua (005)",13,6,,5,2
"Construcción (006)",480,263,172,41,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",385,380,5,,
"Venta, mant.y rep. veh.autom y motoc. (008)",20,19,1,,
"Comercio al por mayor (009)",9,9,,,
"Comercio al por menor (010)",356,352,4,,
"Hoteles y restaurantes (011)",93,91,2,,
"Trans., almac. y comunicaciones (012)",111,81,13,11,6
"Intermediación financiera (013)",2,1,,,1
"Activid.inmobil., empres. y alquileres (014)",96,36,13,24,23
"Admin.pub. y defensa; p. segur soc.afil (015)",203,,,,203
"Enseñanza (016)",765,163,156,166,280
"Servicios sociales y de salud (017)",85,11,,7,67
"Otras activ. serv.comun.soc y personales (018)",160,133,14,9,4
"Hogares privados con servicio doméstico (019)",135,135,,,
"Actividad economica no especificada (021)",182,161,13,5,3
"Hombres (022)",5682,4569,510,240,363
"Agric., ganadería, caza y silvicultura (023)",3952,3739,180,28,5
"Explotación de minas y canteras (025)",26,6,4,16,
"Industrias manufactureras (026)",125,111,12,1,1
"Suministro de electricidad, gas y agua (027)",13,6,,5,2
"Construcción (028)",463,258,162,40,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",183,180,3,,
"Venta, mant.y rep. veh.autom y motoc. (030)",18,17,1,,
"Comercio al por mayor (031)",5,5,,,
"Comercio al por menor (032)",160,158,2,,
"Hoteles y restaurantes (033)",18,17,1,,
"Trans., almac. y comunicaciones (034)",100,72,13,11,4
"Intermediación financiera (035)",1,1,,,
"Activid.inmobil., empres. y alquileres (036)",59,26,8,11,14
"Admin.pub. y defensa; p. segur soc.afil (037)",161,,,,161
"Enseñanza (038)",428,58,110,118,142
"Servicios sociales y de salud (039)",34,6,,3,25
"Otras activ. serv.comun.soc y personales (040)",54,32,12,6,4
"Hogares privados con servicio doméstico (041)",5,5,,,
"Actividad economica no especificada (043)",60,52,5,1,2
"Mujeres (044)",2606,2187,101,79,239
"Agric., ganadería, caza y silvicultura (045)",1452,1422,25,3,2
