"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ASCOPE (000)",31774,26793,4981
"Casa independiente (001)",30974,26237,4737
"Departamento en edificio (002)",38,38,
"Vivienda en quinta (003)",87,87,
"Vivienda en casa de vecindad (004)",213,213,
"Choza o cabaña (005)",242,,242
"Vivienda improvisada (006)",200,200,
"Local no dest.para hab. humana (007)",19,18,1
"Otro tipo (008)",1,,1
