"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ASCOPE (000)",37960,1390,57,7966,15463,2692,5377,1371,3644
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",71,,,3,9,4,17,5,33
"Profes., científicos e intelectuales (002)",2598,,,,90,120,584,175,1629
"Técnicos de nivel medio ytrab.asimilados (003)",1714,3,,47,359,230,689,117,269
"Jefes y empleados de oficina (004)",1580,,,20,449,160,542,122,287
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",5622,244,2,1135,2398,435,819,234,355
"Agricult.trabaj. calif.agrop. y pesquros (006)",3165,144,6,1100,1353,159,206,73,124
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",3583,54,4,552,1525,285,825,116,222
"Obreros. construc., conf., papel, fab., instr (008)",4892,92,8,883,2704,360,487,167,191
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",13943,809,36,4084,6288,893,1057,328,448
"Otra (010)",127,,,,29,4,61,8,25
"Ocupación no especificada (011)",665,44,1,142,259,42,90,26,61
"Hombres (012)",27855,765,49,6005,12308,1949,3446,1021,2312
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",48,,,3,8,2,9,2,24
"Profes., científicos e intelectuales (014)",1255,,,,39,55,204,112,845
"Técnicos de nivel medio ytrab.asimilados (015)",1163,1,,18,265,173,422,93,191
"Jefes y empleados de oficina (016)",793,,,14,281,65,202,60,171
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",2331,39,2,384,1114,191,308,128,165
"Agricult.trabaj. calif.agrop. y pesquros (018)",3019,128,6,1035,1311,153,197,70,119
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",3241,39,4,505,1381,252,748,107,205
"Obreros. construc., conf., papel, fab., instr (020)",4803,89,7,866,2665,348,476,163,189
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",10772,463,29,3130,5078,687,779,265,341
"Otra (022)",124,,,,29,4,59,7,25
"Ocupación no especificada (023)",306,6,1,50,137,19,42,14,37
"Mujeres (024)",10105,625,8,1961,3155,743,1931,350,1332
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",23,,,,1,2,8,3,9
"Profes., científicos e intelectuales (026)",1343,,,,51,65,380,63,784
"Técnicos de nivel medio ytrab.asimilados (027)",551,2,,29,94,57,267,24,78
"Jefes y empleados de oficina (028)",787,,,6,168,95,340,62,116
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",3291,205,,751,1284,244,511,106,190
"Agricult.trabaj. calif.agrop. y pesquros (030)",146,16,,65,42,6,9,3,5
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",342,15,,47,144,33,77,9,17
"Obreros. construc., conf., papel, fab., instr (032)",89,3,1,17,39,12,11,4,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",3171,346,7,954,1210,206,278,63,107
"Otra (034)",3,,,,,,2,1,
"Ocupación no especificada (035)",359,38,,92,122,23,48,12,24
,,,,,,,,,
"URBANA (036)",33145,1050,41,6320,13573,2414,4952,1281,3514
