"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LA MAR (000)",21192,83157,8294,33800,12898,49357
"Casa independiente (001)",18588,73707,7886,32371,10702,41336
"Departamento en edificio (002)",42,116,42,116,,
"Vivienda en quinta (003)",161,580,161,580,,
"Vivienda en casa de vecindad (004)",111,399,111,399,,
"Choza o cabaña (005)",2185,7991,,,2185,7991
"Vivienda improvisada (006)",42,182,42,182,,
"Local no dest.para hab. humana (007)",49,140,40,117,9,23
"Otro tipo (008)",14,42,12,35,2,7
