"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",23781,858,1898,2109,2219,4556,3691,5680,2770
"Sabe leer y escribir (001)",21184,,1515,2100,2206,4525,3617,5148,2073
"No sabe leer y escribir (002)",2597,858,383,9,13,31,74,532,697
"Hombres (004)",12697,418,949,1117,1183,2496,2070,3018,1446
"Sabe leer y escribir (005)",11810,,755,1112,1177,2479,2050,2936,1301
"No sabe leer y escribir (006)",887,418,194,5,6,17,20,82,145
"Mujeres (008)",11084,440,949,992,1036,2060,1621,2662,1324
"Sabe leer y escribir (009)",9374,,760,988,1029,2046,1567,2212,772
"No sabe leer y escribir (010)",1710,440,189,4,7,14,54,450,552
,,,,,,,,,
"URBANA (012)",10282,346,800,903,1009,2115,1633,2359,1117
"Sabe leer y escribir (013)",9312,,639,898,1005,2107,1608,2188,867
"No sabe leer y escribir (014)",970,346,161,5,4,8,25,171,250
"Hombres (016)",5324,182,403,466,534,1077,847,1247,568
"Sabe leer y escribir (017)",4976,,319,463,532,1071,843,1223,525
"No sabe leer y escribir (018)",348,182,84,3,2,6,4,24,43
"Mujeres (020)",4958,164,397,437,475,1038,786,1112,549
"Sabe leer y escribir (021)",4336,,320,435,473,1036,765,965,342
"No sabe leer y escribir (022)",622,164,77,2,2,2,21,147,207
,,,,,,,,,
"RURAL (024)",13499,512,1098,1206,1210,2441,2058,3321,1653
"Sabe leer y escribir (025)",11872,,876,1202,1201,2418,2009,2960,1206
"No sabe leer y escribir (026)",1627,512,222,4,9,23,49,361,447
"Hombres (028)",7373,236,546,651,649,1419,1223,1771,878
"Sabe leer y escribir (029)",6834,,436,649,645,1408,1207,1713,776
"No sabe leer y escribir (030)",539,236,110,2,4,11,16,58,102
"Mujeres (032)",6126,276,552,555,561,1022,835,1550,775
"Sabe leer y escribir (033)",5038,,440,553,556,1010,802,1247,430
"No sabe leer y escribir (034)",1088,276,112,2,5,12,33,303,345
