"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",24750,1124,2776,3085,2553,3998,3618,5515,2081
"Sabe leer y escribir (001)",21260,,1869,3020,2497,3874,3417,4961,1622
"No sabe leer y escribir (002)",3490,1124,907,65,56,124,201,554,459
"Hombres (004)",13051,575,1415,1588,1410,2149,1924,2987,1003
"Sabe leer y escribir (005)",11492,,935,1554,1373,2104,1840,2804,882
"No sabe leer y escribir (006)",1559,575,480,34,37,45,84,183,121
"Mujeres (008)",11699,549,1361,1497,1143,1849,1694,2528,1078
"Sabe leer y escribir (009)",9768,,934,1466,1124,1770,1577,2157,740
"No sabe leer y escribir (010)",1931,549,427,31,19,79,117,371,338
,,,,,,,,,
"URBANA (012)",8150,317,781,1033,846,1125,1275,2028,745
"Sabe leer y escribir (013)",7376,,591,1023,837,1109,1242,1927,647
"No sabe leer y escribir (014)",774,317,190,10,9,16,33,101,98
"Hombres (016)",4122,171,411,507,440,549,637,1061,346
"Sabe leer y escribir (017)",3756,,301,504,435,542,623,1030,321
"No sabe leer y escribir (018)",366,171,110,3,5,7,14,31,25
"Mujeres (020)",4028,146,370,526,406,576,638,967,399
"Sabe leer y escribir (021)",3620,,290,519,402,567,619,897,326
"No sabe leer y escribir (022)",408,146,80,7,4,9,19,70,73
,,,,,,,,,
"RURAL (024)",16600,807,1995,2052,1707,2873,2343,3487,1336
"Sabe leer y escribir (025)",13884,,1278,1997,1660,2765,2175,3034,975
"No sabe leer y escribir (026)",2716,807,717,55,47,108,168,453,361
"Hombres (028)",8929,404,1004,1081,970,1600,1287,1926,657
"Sabe leer y escribir (029)",7736,,634,1050,938,1562,1217,1774,561
"No sabe leer y escribir (030)",1193,404,370,31,32,38,70,152,96
"Mujeres (032)",7671,403,991,971,737,1273,1056,1561,679
"Sabe leer y escribir (033)",6148,,644,947,722,1203,958,1260,414
"No sabe leer y escribir (034)",1523,403,347,24,15,70,98,301,265
