"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CELENDIN (000)",25346,700,8631,8072,5829,2114
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",54,,8,31,10,5
"Profes., científicos e intelectuales (002)",1780,,384,979,404,13
"Técnicos de nivel medio y trab.asimilados (003)",304,,106,130,58,10
"Jefes y empleados de oficina (004)",300,,130,107,62,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1502,29,427,479,415,152
"Agricult.trabaj. calif. agrop. y pesqueros (006)",9970,79,2517,3279,2846,1249
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1379,40,473,436,309,121
"Obreros construc., conf., papel, fab., instr. (008)",1132,26,440,394,228,44
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",6636,400,3117,1626,1113,380
"Otra (010)",29,,4,15,10,
"Ocupación no especificada (011)",780,4,269,257,182,68
"Desocupado (012)",1480,122,756,339,192,71
"Hombres (013)",19235,491,6534,6012,4498,1700
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",45,,6,28,9,2
"Profes., científicos e intelectuales (015)",889,,177,464,238,10
"Técnicos de nivel medio y trab.asimilados (016)",202,,68,83,44,7
"Jefes y empleados de oficina (017)",157,,65,57,34,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",558,18,160,182,140,58
"Agricult.trabaj. calif. agrop. y pesqueros (019)",9620,70,2413,3166,2769,1202
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",568,12,193,187,120,56
"Obreros construc., conf., papel, fab., instr. (021)",828,8,342,310,153,15
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",4944,299,2452,1160,765,268
"Otra (023)",28,,3,15,10,
"Ocupación no especificada (024)",305,2,123,98,59,23
"Desocupado (025)",1091,82,532,262,157,58
"Mujeres (026)",6111,209,2097,2060,1331,414
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",9,,2,3,1,3
"Profes., científicos e intelectuales (028)",891,,207,515,166,3
"Técnicos de nivel medio y trab.asimilados (029)",102,,38,47,14,3
"Jefes y empleados de oficina (030)",143,,65,50,28,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",944,11,267,297,275,94
"Agricult.trabaj. calif. agrop. y pesqueros (032)",350,9,104,113,77,47
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",811,28,280,249,189,65
