"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PIURA (000)",661787,569042,92745
"Casa independiente (001)",636756,548157,88599
"Departamento en edificio (002)",8660,8660,
"Vivienda en quinta (003)",1325,1325,
"Vivienda en casa de vecindad (004)",1064,1064,
"Choza o cabaña (005)",4128,,4128
"Vivienda improvisada (006)",9507,9507,
"Local no dest.para hab. humana (007)",274,258,16
"Otro tipo (008)",73,71,2
