"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia OXAPAMPA (000)",32420,4291,6265,15070,585,5420,789
"Sin nivel (001)",2509,34,398,1248,38,721,70
"Educación inicial (002)",37,3,12,11,,10,1
"Primaria (003)",13617,287,2916,6920,217,2929,348
"Secundaria (004)",10597,846,2502,5211,209,1520,309
"Superior no univ. incompleta (005)",1206,381,167,516,22,87,33
"Superior no univ. completa (006)",1464,775,114,481,22,58,14
"Superior univ. incompleta (007)",816,311,89,325,28,54,9
"Superior univ. completa (008)",2174,1654,67,358,49,41,5
"Hombres (010)",23696,2271,5510,12072,495,3178,170
"Sin nivel (011)",1478,10,281,892,35,249,11
"Educación inicial (012)",26,,11,8,,7,
"Primaria (013)",10508,133,2537,5792,189,1775,82
"Secundaria (014)",8227,515,2290,4169,173,1011,69
"Superior no univ. incompleta (015)",832,211,149,397,17,52,6
"Superior no univ. completa (016)",801,349,101,304,18,27,2
"Superior univ. incompleta (017)",582,190,81,254,24,33,
"Superior univ. completa (018)",1242,863,60,256,39,24,
"Mujeres (020)",8724,2020,755,2998,90,2242,619
"Sin nivel (021)",1031,24,117,356,3,472,59
"Educación inicial (022)",11,3,1,3,,3,1
"Primaria (023)",3109,154,379,1128,28,1154,266
"Secundaria (024)",2370,331,212,1042,36,509,240
"Superior no univ. incompleta (025)",374,170,18,119,5,35,27
"Superior no univ. completa (026)",663,426,13,177,4,31,12
"Superior univ. incompleta (027)",234,121,8,71,4,21,9
"Superior univ. completa (028)",932,791,7,102,10,17,5
,,,,,,,
"URBANA (030)",13208,3362,2280,5881,298,914,473
"Sin nivel (031)",376,26,60,200,10,50,30
"Educación inicial (032)",10,2,2,2,,3,1
"Primaria (033)",3183,222,730,1688,72,308,163
"Secundaria (034)",5336,702,1173,2709,119,408,225
"Superior no univ. incompleta (035)",873,296,116,365,17,50,29
"Superior no univ. completa (036)",1109,580,89,376,18,33,13
"Superior univ. incompleta (037)",621,251,65,244,20,34,7
"Superior univ. completa (038)",1700,1283,45,297,42,28,5
"Hombres (040)",8756,1798,2009,4204,234,449,62
"Sin nivel (041)",166,7,40,93,8,15,3
"Educación inicial (042)",5,,1,2,,2,
"Primaria (043)",2129,98,623,1194,58,138,18
"Secundaria (044)",3878,435,1062,2025,92,229,35
"Superior no univ. incompleta (045)",587,172,105,270,13,23,4
"Superior no univ. completa (046)",598,262,78,229,14,13,2
"Superior univ. incompleta (047)",432,155,60,185,16,16,
"Superior univ. completa (048)",961,669,40,206,33,13,
"Mujeres (050)",4452,1564,271,1677,64,465,411
"Sin nivel (051)",210,19,20,107,2,35,27
"Educación inicial (052)",5,2,1,,,1,1
"Primaria (053)",1054,124,107,494,14,170,145
"Secundaria (054)",1458,267,111,684,27,179,190
"Superior no univ. incompleta (055)",286,124,11,95,4,27,25
"Superior no univ. completa (056)",511,318,11,147,4,20,11
"Superior univ. incompleta (057)",189,96,5,59,4,18,7
"Superior univ. completa (058)",739,614,5,91,9,15,5
,,,,,,,
"RURAL (060)",19212,929,3985,9189,287,4506,316
"Sin nivel (061)",2133,8,338,1048,28,671,40
"Educación inicial (062)",27,1,10,9,,7,
"Primaria (063)",10434,65,2186,5232,145,2621,185
"Secundaria (064)",5261,144,1329,2502,90,1112,84
"Superior no univ. incompleta (065)",333,85,51,151,5,37,4
"Superior no univ. completa (066)",355,195,25,105,4,25,1
"Superior univ. incompleta (067)",195,60,24,81,8,20,2
"Superior univ. completa (068)",474,371,22,61,7,13,
"Hombres (070)",14940,473,3501,7868,261,2729,108
"Sin nivel (071)",1312,3,241,799,27,234,8
"Educación inicial (072)",21,,10,6,,5,
"Primaria (073)",8379,35,1914,4598,131,1637,64
"Secundaria (074)",4349,80,1228,2144,81,782,34
"Superior no univ. incompleta (075)",245,39,44,127,4,29,2
"Superior no univ. completa (076)",203,87,23,75,4,14,
"Superior univ. incompleta (077)",150,35,21,69,8,17,
"Superior univ. completa (078)",281,194,20,50,6,11,
"Mujeres (080)",4272,456,484,1321,26,1777,208
"Sin nivel (081)",821,5,97,249,1,437,32
"Educación inicial (082)",6,1,,3,,2,
"Primaria (083)",2055,30,272,634,14,984,121
"Secundaria (084)",912,64,101,358,9,330,50
"Superior no univ. incompleta (085)",88,46,7,24,1,8,2
"Superior no univ. completa (086)",152,108,2,30,,11,1
"Superior univ. incompleta (087)",45,25,3,12,,3,2
"Superior univ. completa (088)",193,177,2,11,1,2,
