"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUACAYBAMBA (000)",4660,51,1332,1750,1133,394
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,,2,14,5,1
"Profes., científicos e intelectuales (002)",395,,62,234,96,3
"Técnicos de nivel medio y trab.asimilados (003)",43,,10,23,8,2
"Jefes y empleados de oficina (004)",69,,10,34,24,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",244,,64,111,59,10
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2207,,435,823,675,274
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",78,,15,31,22,10
"Obreros construc., conf., papel, fab., instr. (008)",75,,20,32,19,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1180,43,571,343,166,57
"Otra (010)",16,,5,10,1,
"Ocupación no especificada (011)",94,,30,33,17,14
"Desocupado (012)",237,8,108,62,41,18
"Hombres (013)",3857,33,1080,1415,985,344
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,,2,11,5,1
"Profes., científicos e intelectuales (015)",239,,25,134,77,3
"Técnicos de nivel medio y trab.asimilados (016)",30,,7,14,7,2
"Jefes y empleados de oficina (017)",53,,6,27,19,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",108,,30,45,27,6
"Agricult.trabaj. calif. agrop. y pesqueros (019)",2094,,412,783,646,253
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",73,,14,31,21,7
"Obreros construc., conf., papel, fab., instr. (021)",75,,20,32,19,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",941,31,467,266,130,47
"Otra (023)",16,,5,10,1,
"Ocupación no especificada (024)",22,,9,6,1,6
"Desocupado (025)",187,2,83,56,32,14
"Mujeres (026)",803,18,252,335,148,50
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,,3,,
"Profes., científicos e intelectuales (028)",156,,37,100,19,
"Técnicos de nivel medio y trab.asimilados (029)",13,,3,9,1,
"Jefes y empleados de oficina (030)",16,,4,7,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",136,,34,66,32,4
"Agricult.trabaj. calif. agrop. y pesqueros (032)",113,,23,40,29,21
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",5,,1,,1,3
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (035)",239,12,104,77,36,10
