"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,,,,,,,
"URBANA (060)",1580,11,30,73,146,312,602,406
"De 12 a 14 años (061)",3,,,,,,,3
"De 15 a 19 años (062)",30,,,,,,24,6
"De 20 a 24 años (063)",160,,,,,,94,66
"De 25 a 29 años (064)",204,,,,,6,130,68
"De 30 a 34 años (065)",176,,,,,25,111,40
"De 35 a 39 años (066)",247,,,,1,61,140,45
"De 40 a 44 años (067)",173,,,,1,72,69,31
"De 45 a 49 años (068)",136,,,1,19,72,28,16
"De 50 y más años (069)",451,11,30,72,125,76,6,131
"PEA (070)",624,2,5,14,56,145,250,152
"De 12 a 14 años (071)",2,,,,,,,2
"De 15 a 19 años (072)",6,,,,,,6,
"De 20 a 24 años (073)",47,,,,,,32,15
"De 25 a 29 años (074)",96,,,,,4,59,33
"De 30 a 34 años (075)",76,,,,,13,42,21
"De 35 a 39 años (076)",112,,,,1,31,60,20
"De 40 a 44 años (077)",87,,,,,36,33,18
"De 45 a 49 años (078)",63,,,,8,34,15,6
"De 50 y más años (079)",135,2,5,14,47,27,3,37
"Ocupada (080)",601,2,5,14,55,139,241,145
"De 12 a 14 años (081)",2,,,,,,,2
"De 15 a 19 años (082)",5,,,,,,5,
"De 20 a 24 años (083)",43,,,,,,30,13
"De 25 a 29 años (084)",92,,,,,4,59,29
"De 30 a 34 años (085)",75,,,,,13,41,21
"De 35 a 39 años (086)",108,,,,1,29,58,20
"De 40 a 44 años (087)",83,,,,,36,30,17
"De 45 a 49 años (088)",61,,,,8,32,15,6
"De 50 y más años (089)",132,2,5,14,46,25,3,37
"Desocupada (090)",23,,,,1,6,9,7
"De 15 a 19 años (092)",1,,,,,,1,
"De 20 a 24 años (093)",4,,,,,,2,2
"De 25 a 29 años (094)",4,,,,,,,4
"De 30 a 34 años (095)",1,,,,,,1,
"De 35 a 39 años (096)",4,,,,,2,2,
"De 40 a 44 años (097)",4,,,,,,3,1
"De 45 a 49 años (098)",2,,,,,2,,
"De 50 y más años (099)",3,,,,1,2,,
"No PEA (100)",956,9,25,59,90,167,352,254
"De 12 a 14 años (101)",1,,,,,,,1
"De 15 a 19 años (102)",24,,,,,,18,6
"De 20 a 24 años (103)",113,,,,,,62,51
"De 25 a 29 años (104)",108,,,,,2,71,35
"De 30 a 34 años (105)",100,,,,,12,69,19
"De 35 a 39 años (106)",135,,,,,30,80,25
"De 40 a 44 años (107)",86,,,,1,36,36,13
"De 45 a 49 años (108)",73,,,1,11,38,13,10
"De 50 y más años (109)",316,9,25,58,78,49,3,94
,,,,,,,,
"RURAL (120)",8027,52,170,451,932,1496,3130,1796
"De 12 a 14 años (121)",18,,,,,,2,16
"De 15 a 19 años (122)",183,,,,,,101,82
"De 20 a 24 años (123)",731,,,,,2,461,268
"De 25 a 29 años (124)",848,,,,,18,600,230
"De 30 a 34 años (125)",854,,,,,82,613,159
"De 35 a 39 años (126)",898,,,,2,203,583,110
"De 40 a 44 años (127)",807,,,,19,243,460,85
"De 45 a 49 años (128)",732,,,,63,322,264,83
"De 50 y más años (129)",2956,52,170,451,848,626,46,763
"PEA (130)",2337,3,27,85,261,505,951,505
"De 12 a 14 años (131)",1,,,,,,,1
"De 15 a 19 años (132)",54,,,,,,29,25
"De 20 a 24 años (133)",198,,,,,1,117,80
"De 25 a 29 años (134)",245,,,,,5,171,69
"De 30 a 34 años (135)",267,,,,,21,199,47
"De 35 a 39 años (136)",293,,,,2,69,184,38
"De 40 a 44 años (137)",249,,,,3,75,148,23
"De 45 a 49 años (138)",245,,,,19,109,85,32
"De 50 y más años (139)",785,3,27,85,237,225,18,190
"Ocupada (140)",2309,3,27,85,261,503,941,489
"De 12 a 14 años (141)",1,,,,,,,1
"De 15 a 19 años (142)",51,,,,,,27,24
"De 20 a 24 años (143)",189,,,,,1,114,74
"De 25 a 29 años (144)",239,,,,,4,170,65
"De 30 a 34 años (145)",265,,,,,21,197,47
"De 35 a 39 años (146)",290,,,,2,69,183,36
"De 40 a 44 años (147)",247,,,,3,75,147,22
"De 45 a 49 años (148)",245,,,,19,109,85,32
"De 50 y más años (149)",782,3,27,85,237,224,18,188
"Desocupada (150)",28,,,,,2,10,16
"De 15 a 19 años (152)",3,,,,,,2,1
"De 20 a 24 años (153)",9,,,,,,3,6
"De 25 a 29 años (154)",6,,,,,1,1,4
"De 30 a 34 años (155)",2,,,,,,2,
"De 35 a 39 años (156)",3,,,,,,1,2
"De 40 a 44 años (157)",2,,,,,,1,1
"De 50 y más años (159)",3,,,,,1,,2
"No PEA (160)",5690,49,143,366,671,991,2179,1291
"De 12 a 14 años (161)",17,,,,,,2,15
"De 15 a 19 años (162)",129,,,,,,72,57
"De 20 a 24 años (163)",533,,,,,1,344,188
"De 25 a 29 años (164)",603,,,,,13,429,161
"De 30 a 34 años (165)",587,,,,,61,414,112
"De 35 a 39 años (166)",605,,,,,134,399,72
"De 40 a 44 años (167)",558,,,,16,168,312,62
"De 45 a 49 años (168)",487,,,,44,213,179,51
"De 50 y más años (169)",2171,49,143,366,611,401,28,573
