"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",49571,25223,24348,13598,6854,6744,35973,18369,17604
"Menores de 1 año (001)",1775,897,878,408,212,196,1367,685,682
"Menores de 1 mes (002)",182,86,96,40,22,18,142,64,78
"De 1 a 11 meses (003)",1593,811,782,368,190,178,1225,621,604
"De 1 a 4 años (004)",7594,3713,3881,1777,881,896,5817,2832,2985
"1 año (005)",1719,810,909,410,192,218,1309,618,691
"2 años (006)",1933,992,941,483,257,226,1450,735,715
"3 años (007)",2017,979,1038,440,221,219,1577,758,819
"4 años (008)",1925,932,993,444,211,233,1481,721,760
"De 5 a 9 años (009)",8196,4108,4088,1920,949,971,6276,3159,3117
"5 años (010)",1661,853,808,383,188,195,1278,665,613
"6 años (011)",1720,844,876,374,176,198,1346,668,678
"7 años (012)",1769,886,883,427,208,219,1342,678,664
"8 años (013)",1590,775,815,357,187,170,1233,588,645
"9 años (014)",1456,750,706,379,190,189,1077,560,517
"De 10 a 14 años (015)",6993,3625,3368,2009,1018,991,4984,2607,2377
"10 años (016)",1593,839,754,357,186,171,1236,653,583
"11 años (017)",1230,636,594,349,181,168,881,455,426
"12 años (018)",1485,784,701,421,209,212,1064,575,489
"13 años (019)",1394,686,708,454,223,231,940,463,477
"14 años (020)",1291,680,611,428,219,209,863,461,402
"De 15 a 19 años (021)",5451,2747,2704,1624,844,780,3827,1903,1924
"15 años (022)",1262,632,630,377,199,178,885,433,452
"16 años (023)",1103,552,551,401,222,179,702,330,372
"17 años (024)",1082,576,506,345,181,164,737,395,342
"18 años (025)",1097,543,554,279,142,137,818,401,417
"19 años (026)",907,444,463,222,100,122,685,344,341
"De 20 a 24 años (027)",4004,1923,2081,1065,482,583,2939,1441,1498
"20 años (028)",928,456,472,219,94,125,709,362,347
"21 años (029)",658,319,339,210,92,118,448,227,221
"22 años (030)",877,399,478,211,98,113,666,301,365
"23 años (031)",783,380,403,216,105,111,567,275,292
"24 años (032)",758,369,389,209,93,116,549,276,273
"De 25 a 29 años (033)",3560,1779,1781,1059,503,556,2501,1276,1225
"25 años (034)",823,392,431,219,102,117,604,290,314
"26 años (035)",658,338,320,185,95,90,473,243,230
"27 años (036)",764,412,352,259,124,135,505,288,217
"28 años (037)",711,343,368,194,80,114,517,263,254
"29 años (038)",604,294,310,202,102,100,402,192,210
"De 30 a 34 años (039)",2655,1377,1278,863,423,440,1792,954,838
"30 años (040)",790,379,411,235,114,121,555,265,290
"31 años (041)",363,185,178,128,52,76,235,133,102
"32 años (042)",553,304,249,159,83,76,394,221,173
"33 años (043)",501,268,233,181,96,85,320,172,148
"34 años (044)",448,241,207,160,78,82,288,163,125
