"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TOCACHE (000)",20492,9709,10783
"Casa independiente (001)",14829,8170,6659
"Departamento en edificio (002)",84,84,
"Vivienda en quinta (003)",1009,1009,
"Vivienda en casa de vecindad (004)",361,361,
"Choza o cabaña (005)",4106,,4106
"Vivienda improvisada (006)",59,59,
"Local no dest.para hab. humana (007)",34,22,12
"Otro tipo (008)",10,4,6
