"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHUCUITO (000)",119280,5245,13332,14691,13367,22196,16259,24658,9532
"Sin nivel (001)",15736,5245,1451,63,82,229,389,3529,4748
"Educación inicial (002)",2687,,2609,25,8,23,22,,
"Primaria (003)",43611,,9272,8490,1076,3184,4652,12823,4114
"Secundaria (004)",45665,,,6113,10977,13603,8365,6148,459
"Superior no univ. incompleto (005)",3976,,,,876,2000,682,393,25
"Superior no univ. completo (006)",3242,,,,,1450,975,721,96
"Superior univ. incompleto (007)",1850,,,,348,975,291,220,16
"Superior univ. completo (008)",2513,,,,,732,883,824,74
"Hombres (010)",60849,2671,6820,7567,6883,11259,8262,12609,4778
"Sin nivel (011)",5683,2671,752,40,40,93,117,685,1285
"Educación inicial (012)",1303,,1275,11,4,7,6,,
"Primaria (013)",20609,,4793,4337,394,875,1402,5861,2947
"Secundaria (014)",25517,,,3179,5776,7066,4795,4331,370
"Superior no univ. incompleto (015)",2490,,,,466,1216,457,330,21
"Superior no univ. completo (016)",2185,,,,,872,667,564,82
"Superior univ. incompleto (017)",1271,,,,203,663,217,175,13
"Superior univ. completo (018)",1791,,,,,467,601,663,60
"Mujeres (020)",58431,2574,6512,7124,6484,10937,7997,12049,4754
"Sin nivel (021)",10053,2574,699,23,42,136,272,2844,3463
"Educación inicial (022)",1384,,1334,14,4,16,16,,
"Primaria (023)",23002,,4479,4153,682,2309,3250,6962,1167
"Secundaria (024)",20148,,,2934,5201,6537,3570,1817,89
"Superior no univ. incompleto (025)",1486,,,,410,784,225,63,4
"Superior no univ. completo (026)",1057,,,,,578,308,157,14
"Superior univ. incompleto (027)",579,,,,145,312,74,45,3
"Superior univ. completo (028)",722,,,,,265,282,161,14
,,,,,,,,,
"URBANA (030)",33806,1457,3553,4035,4193,7329,5205,6470,1564
"Sin nivel (031)",3337,1457,327,30,28,73,138,683,601
"Educación inicial (032)",763,,742,5,3,10,3,,
"Primaria (033)",9759,,2484,2183,210,676,1021,2542,643
"Secundaria (034)",13787,,,1817,3329,3920,2452,2081,188
"Superior no univ. incompleto (035)",1928,,,,424,939,357,192,16
