"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia TARMA",,,,,,,,,
"Viviendas particulares (001)",26987,5250,21069,68,68,14,366,20,132
"Ocupantes presentes (002)",111056,23162,85341,285,295,54,1334,86,499
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",25655,4708,20461,62,61,9,237,18,99
"Ocupantes presentes (005)",105200,20578,82645,261,267,36,936,72,405
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",236,203,31,,,,,2,
"Ocupantes presentes (008)",1056,896,146,,,,,14,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",512,210,299,2,1,,,,
"Ocupantes presentes (011)",2355,986,1350,16,3,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",319,114,204,,,,,,1
"Ocupantes presentes (014)",1539,631,901,,,,,,7
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",219,,57,1,6,4,128,,23
"Ocupantes presentes (017)",757,,253,4,25,14,395,,66
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",6,,,3,,,,,3
"Ocupantes presentes (020)",11,,,4,,,,,7
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",35,15,17,,,1,1,,1
"Ocupantes presentes (023)",126,71,46,,,4,3,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",5,,,,,,,,5
"Ocupantes presentes (026)",12,,,,,,,,12
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",16928,4845,11782,23,41,5,120,18,94
"Ocupantes presentes (029)",71545,21629,48666,97,159,17,516,78,383
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",15818,4305,11231,18,40,4,119,16,85
"Ocupantes presentes (032)",66462,19054,46223,77,156,13,513,64,362
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",236,203,31,,,,,2,
"Ocupantes presentes (035)",1056,896,146,,,,,14,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",512,210,299,2,1,,,,
"Ocupantes presentes (038)",2355,986,1350,16,3,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",319,114,204,,,,,,1
"Ocupantes presentes (041)",1539,631,901,,,,,,7
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",6,,,3,,,,,3
"Ocupantes presentes (047)",11,,,4,,,,,7
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",33,13,17,,,1,1,,1
"Ocupantes presentes (050)",117,62,46,,,4,3,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",4,,,,,,,,4
"Ocupantes presentes (053)",5,,,,,,,,5
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",10059,405,9287,45,27,9,246,2,38
"Ocupantes presentes (056)",39511,1533,36675,188,136,37,818,8,116
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",9837,403,9230,44,21,5,118,2,14
"Ocupantes presentes (059)",38738,1524,36422,184,111,23,423,8,43
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",219,,57,1,6,4,128,,23
"Ocupantes presentes (071)",757,,253,4,25,14,395,,66
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,2,,,,,,,
"Ocupantes presentes (077)",9,9,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",7,,,,,,,,7
