"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA UNION (000)",5843,4733,651,252,207
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",28,1,,3,24
"Profes., científicos e intelectuales (002)",434,168,57,160,49
"Técnicos de nivel medio y trab. asimilados (003)",93,44,10,9,30
"Jefes y empleados de oficina (004)",104,19,12,17,56
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",324,310,9,4,1
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2324,2068,256,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",132,111,11,7,3
"Obreros construc.,conf.,papel, fab., instr. (008)",158,119,32,3,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2112,1803,243,47,19
"Otra (010)",19,,,,19
"Ocupación no especificada (011)",115,90,21,2,2
"Hombres (012)",3541,2845,429,145,122
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,1,,3,21
"Profes., científicos e intelectuales (014)",195,63,34,81,17
"Técnicos de nivel medio y trab. asimilados (015)",53,29,7,6,11
"Jefes y empleados de oficina (016)",52,9,5,8,30
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",97,94,3,,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1748,1555,193,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",106,86,10,7,3
"Obreros construc.,conf.,papel, fab., instr. (020)",156,117,32,3,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1037,849,135,36,17
"Otra (022)",19,,,,19
"Ocupación no especificada (023)",53,42,10,1,
"Mujeres (024)",2302,1888,222,107,85
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,,,3
"Profes., científicos e intelectuales (026)",239,105,23,79,32
"Técnicos de nivel medio y trab. asimilados (027)",40,15,3,3,19
"Jefes y empleados de oficina (028)",52,10,7,9,26
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",227,216,6,4,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",576,513,63,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",26,25,1,,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1075,954,108,11,2
"Ocupación no especificada (035)",62,48,11,1,2
