"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ANTABAMBA (000)",3290,19,95,227,367,580,1164,838
"De 12 a 14 años (001)",7,,,,,,,7
"De 15 a 19 años (002)",85,,,,,,53,32
"De 20 a 24 años (003)",290,,,,,,199,91
"De 25 a 29 años (004)",312,,,,,10,239,63
"De 30 a 34 años (005)",328,,,,,28,223,77
"De 35 a 39 años (006)",339,,,,,70,220,49
"De 40 a 44 años (007)",293,,,,6,103,136,48
"De 45 a 49 años (008)",288,,,,23,153,75,37
"De 50 y más años (009)",1348,19,95,227,338,216,19,434
"Sin nivel (010)",1135,17,67,165,194,150,187,355
"De 15 a 19 años (012)",2,,,,,,2,
"De 20 a 24 años (013)",25,,,,,,21,4
"De 25 a 29 años (014)",27,,,,,,25,2
"De 30 a 34 años (015)",43,,,,,1,29,13
"De 35 a 39 años (016)",55,,,,,8,36,11
"De 40 a 44 años (017)",73,,,,3,19,33,18
"De 45 a 49 años (018)",85,,,,2,39,35,9
"De 50 y más años (019)",825,17,67,165,189,83,6,298
"Educacion Inicial (020)",4,,,,,,4,
"De 25 a 29 años (024)",2,,,,,,2,
"De 30 a 34 años (025)",1,,,,,,1,
"De 35 a 39 años (026)",1,,,,,,1,
"Primaria (030)",1185,2,25,52,128,263,475,240
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",29,,,,,,18,11
"De 20 a 24 años (033)",103,,,,,,78,25
"De 25 a 29 años (034)",114,,,,,5,90,19
"De 30 a 34 años (035)",123,,,,,13,84,26
"De 35 a 39 años (036)",141,,,,,25,100,16
"De 40 a 44 años (037)",126,,,,2,43,68,13
"De 45 a 49 años (038)",123,,,,11,71,27,14
"De 50 y más años (039)",425,2,25,52,115,106,10,115
"Secundaria (040)",704,,3,8,30,116,386,161
"De 12 a 14 años (041)",6,,,,,,,6
"De 15 a 19 años (042)",54,,,,,,33,21
"De 20 a 24 años (043)",136,,,,,,91,45
"De 25 a 29 años (044)",128,,,,,5,94,29
"De 30 a 34 años (045)",109,,,,,13,77,19
"De 35 a 39 años (046)",97,,,,,26,59,12
"De 40 a 44 años (047)",55,,,,,26,19,10
"De 45 a 49 años (048)",52,,,,8,26,11,7
"De 50 y más años (049)",67,,3,8,22,20,2,12
"Sup. no Univ. incompleta (050)",65,,,,1,11,29,24
"De 20 a 24 años (053)",13,,,,,,5,8
"De 25 a 29 años (054)",10,,,,,,6,4
"De 30 a 34 años (055)",11,,,,,,5,6
"De 35 a 39 años (056)",21,,,,,6,11,4
"De 40 a 44 años (057)",6,,,,1,2,2,1
