"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ISLAY (000)",14852,13865,65,3320,3869,2595,2615,984,347,70,987,40217
"De 12 a 14 años (001)",11,4,,4,,,,,,,7,4
"De 15 a 19 años (002)",235,206,4,186,12,1,3,,,,29,225
"De 20 a 24 años (003)",1138,877,11,649,185,23,6,3,,,261,1134
"De 25 a 29 años (004)",1728,1523,8,778,548,153,34,1,1,,205,2489
"De 30 a 34 años (005)",1903,1808,9,568,775,320,126,10,,,95,3677
"De 35 a 39 años (006)",1793,1736,2,330,697,452,226,26,3,,57,4222
"De 40 a 44 años (007)",1631,1573,4,224,531,400,326,71,14,3,58,4497
"De 45 a 49 años (008)",1391,1351,3,167,363,334,370,92,20,2,40,4284
"De 50 y más años (009)",5022,4787,24,414,758,912,1524,781,309,65,235,19685
"Sin nivel (010)",1528,1497,10,126,215,254,472,280,121,19,31,6440
"De 15 a 19 años (012)",4,4,1,1,1,1,,,,,,6
"De 20 a 24 años (013)",14,12,,7,3,1,1,,,,2,21
"De 25 a 29 años (014)",14,12,,5,4,2,1,,,,2,23
"De 30 a 34 años (015)",85,81,3,12,34,20,9,3,,,4,199
"De 35 a 39 años (016)",113,110,,11,28,34,34,3,,,3,337
"De 40 a 44 años (017)",123,119,,12,30,25,36,11,5,,4,418
"De 45 a 49 años (018)",125,121,,11,17,30,36,22,5,,4,480
"De 50 y más años (019)",1050,1038,6,67,98,141,355,241,111,19,12,4956
"Educacion Inicial (020)",13,11,,3,3,4,1,,,,2,25
"De 20 a 24 años (023)",1,,,,,,,,,,1,
"De 25 a 29 años (024)",5,4,,2,2,,,,,,1,6
"De 30 a 34 años (025)",4,4,,1,1,1,1,,,,,10
