"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JAEN (000)",182221,90857,91364
"Casa independiente (001)",165942,81154,84788
"Departamento en edificio (002)",2816,2816,
"Vivienda en quinta (003)",3957,3957,
"Vivienda en casa de vecindad (004)",2741,2741,
"Choza o cabaña (005)",6540,,6540
"Vivienda improvisada (006)",85,85,
"Local no dest.para hab. humana (007)",124,90,34
"Otro tipo (008)",16,14,2
