"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PASCO (000)",56204,126726,115030,,2422,90.8,1.9
"De 12 a 14 años (001)",5390,35,35,,1,100,2.9
"De 15 a 19 años (002)",8251,795,782,226,98.4,28.4,
"De 20 a 24 años (003)",7725,4636,4543,634,98,13.7,
"De 25 a 29 años (004)",6801,8902,8630,620,96.9,7,
"De 30 a 34 años (005)",5533,11533,11110,446,96.3,3.9,
"De 35 a 39 años (006)",5316,15486,14807,335,95.6,2.2,
"De 40 a 44 años (007)",4336,16267,15192,143,93.4,0.9,
"De 45 a 49 años (008)",3414,15419,14175,17,91.9,0.1,
"De 50 y más años (009)",9438,53653,45756,,85.3,,
"PEA (010)",14279,30923,28459,445,92,1.4,
"De 12 a 14 años (011)",102,,,,,,
"De 15 a 19 años (012)",934,114,112,30,98.2,26.3,
"De 20 a 24 años (013)",2075,912,898,92,98.5,10.1,
"De 25 a 29 años (014)",2341,2094,2031,102,97,4.9,
"De 30 a 34 años (015)",1947,3095,2962,97,95.7,3.1,
"De 35 a 39 años (016)",1896,4449,4247,75,95.5,1.7,
"De 40 a 44 años (017)",1634,5065,4782,41,94.4,0.8,
"De 45 a 49 años (018)",1201,4599,4228,8,91.9,0.2,
"De 50 y más años (019)",2149,10595,9199,,86.8,,
"Ocupada (020)",13214,29905,27534,418,92.1,1.4,
"De 12 a 14 años (021)",95,,,,,,
"De 15 a 19 años (022)",768,104,102,26,98.1,25,
"De 20 a 24 años (023)",1768,841,828,86,98.5,10.2,
"De 25 a 29 años (024)",2088,1962,1901,96,96.9,4.9,
"De 30 a 34 años (025)",1823,2919,2804,92,96.1,3.2,
"De 35 a 39 años (026)",1809,4287,4091,71,95.4,1.7,
"De 40 a 44 años (027)",1586,4928,4655,39,94.5,0.8,
"De 45 a 49 años (028)",1172,4451,4098,8,92.1,0.2,
"De 50 y más años (029)",2105,10413,9055,,87,,
"Desocupada (030)",1065,1018,925,27,90.9,2.7,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",166,10,10,4,100,40,
"De 20 a 24 años (033)",307,71,70,6,98.6,8.5,
"De 25 a 29 años (034)",253,132,130,6,98.5,4.5,
"De 30 a 34 años (035)",124,176,158,5,89.8,2.8,
