"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAYTARA (000)",21938,1092,2628,2588,1774,3154,3134,4961,2607
"Sin nivel (001)",3289,1092,296,19,19,91,165,733,874
"Educación inicial (002)",584,,563,4,,7,10,,
"Primaria (003)",9770,,1769,1983,406,771,1009,2310,1522
"Secundaria (004)",6287,,,582,1307,1601,1300,1333,164
"Superior no univ. incompleto (005)",407,,,,24,182,109,83,9
"Superior no univ. completo (006)",708,,,,,276,253,168,11
"Superior univ. incompleto (007)",240,,,,18,92,56,70,4
"Superior univ. completo (008)",653,,,,,134,232,264,23
"Hombres (010)",11548,566,1340,1363,905,1705,1799,2648,1222
"Sin nivel (011)",1134,566,145,9,6,24,38,163,183
"Educación inicial (012)",292,,285,2,,2,3,,
"Primaria (013)",4846,,910,1018,165,302,437,1143,871
"Secundaria (014)",4046,,,334,717,997,924,937,137
"Superior no univ. incompleto (015)",258,,,,11,111,70,60,6
"Superior no univ. completo (016)",393,,,,,148,140,99,6
"Superior univ. incompleto (017)",172,,,,6,56,51,56,3
"Superior univ. completo (018)",407,,,,,65,136,190,16
"Mujeres (020)",10390,526,1288,1225,869,1449,1335,2313,1385
"Sin nivel (021)",2155,526,151,10,13,67,127,570,691
"Educación inicial (022)",292,,278,2,,5,7,,
"Primaria (023)",4924,,859,965,241,469,572,1167,651
"Secundaria (024)",2241,,,248,590,604,376,396,27
"Superior no univ. incompleto (025)",149,,,,13,71,39,23,3
"Superior no univ. completo (026)",315,,,,,128,113,69,5
"Superior univ. incompleto (027)",68,,,,12,36,5,14,1
"Superior univ. completo (028)",246,,,,,69,96,74,7
,,,,,,,,,
"URBANA (030)",6386,293,720,777,644,978,898,1403,673
"Sin nivel (031)",658,293,75,1,2,13,16,100,158
"Educación inicial (032)",160,,157,,,1,2,,
"Primaria (033)",2401,,488,529,67,147,203,540,427
"Secundaria (034)",2192,,,247,553,500,362,466,64
"Superior no univ. incompleto (035)",184,,,,14,86,39,42,3
"Superior no univ. completo (036)",345,,,,,122,124,91,8
"Superior univ. incompleto (037)",107,,,,8,46,18,33,2
"Superior univ. completo (038)",339,,,,,63,134,131,11
"Hombres (040)",3269,164,355,408,349,503,466,721,303
"Sin nivel (041)",271,164,40,1,2,5,4,21,34
"Educación inicial (042)",81,,80,,,1,,,
"Primaria (043)",1091,,235,274,34,57,72,218,201
"Secundaria (044)",1290,,,133,305,282,223,296,51
"Superior no univ. incompleto (045)",106,,,,7,47,22,29,1
"Superior no univ. completo (046)",163,,,,,56,56,47,4
"Superior univ. incompleto (047)",74,,,,1,31,15,25,2
"Superior univ. completo (048)",193,,,,,24,74,85,10
"Mujeres (050)",3117,129,365,369,295,475,432,682,370
"Sin nivel (051)",387,129,35,,,8,12,79,124
"Educación inicial (052)",79,,77,,,,2,,
"Primaria (053)",1310,,253,255,33,90,131,322,226
"Secundaria (054)",902,,,114,248,218,139,170,13
"Superior no univ. incompleto (055)",78,,,,7,39,17,13,2
"Superior no univ. completo (056)",182,,,,,66,68,44,4
"Superior univ. incompleto (057)",33,,,,7,15,3,8,
"Superior univ. completo (058)",146,,,,,39,60,46,1
,,,,,,,,,
"RURAL (060)",15552,799,1908,1811,1130,2176,2236,3558,1934
"Sin nivel (061)",2631,799,221,18,17,78,149,633,716
"Educación inicial (062)",424,,406,4,,6,8,,
"Primaria (063)",7369,,1281,1454,339,624,806,1770,1095
"Secundaria (064)",4095,,,335,754,1101,938,867,100
"Superior no univ. incompleto (065)",223,,,,10,96,70,41,6
"Superior no univ. completo (066)",363,,,,,154,129,77,3
"Superior univ. incompleto (067)",133,,,,10,46,38,37,2
"Superior univ. completo (068)",314,,,,,71,98,133,12
"Hombres (070)",8279,402,985,955,556,1202,1333,1927,919
"Sin nivel (071)",863,402,105,8,4,19,34,142,149
"Educación inicial (072)",211,,205,2,,1,3,,
"Primaria (073)",3755,,675,744,131,245,365,925,670
"Secundaria (074)",2756,,,201,412,715,701,641,86
"Superior no univ. incompleto (075)",152,,,,4,64,48,31,5
"Superior no univ. completo (076)",230,,,,,92,84,52,2
"Superior univ. incompleto (077)",98,,,,5,25,36,31,1
"Superior univ. completo (078)",214,,,,,41,62,105,6
"Mujeres (080)",7273,397,923,856,574,974,903,1631,1015
"Sin nivel (081)",1768,397,116,10,13,59,115,491,567
"Educación inicial (082)",213,,201,2,,5,5,,
"Primaria (083)",3614,,606,710,208,379,441,845,425
"Secundaria (084)",1339,,,134,342,386,237,226,14
"Superior no univ. incompleto (085)",71,,,,6,32,22,10,1
"Superior no univ. completo (086)",133,,,,,62,45,25,1
"Superior univ. incompleto (087)",35,,,,5,21,2,6,1
"Superior univ. completo (088)",100,,,,,30,36,28,6
