"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHANCHAMAYO (000)",168949,3352,57384,47240,33015,21251,6707
"Hombres (001)",89216,1667,29576,24944,17224,11943,3862
"Mujeres (002)",79733,1685,27808,22296,15791,9308,2845
"Viviendas particulares (003)",166385,3331,57257,46038,32225,20868,6666
"Hombres (004)",87149,1656,29499,23958,16579,11626,3831
"Mujeres (005)",79236,1675,27758,22080,15646,9242,2835
"Viviendas colectivas (006)",2038,18,90,1025,610,268,27
"Hombres (007)",1690,9,50,874,514,224,19
"Mujeres (008)",348,9,40,151,96,44,8
"Otro tipo (009)",526,3,37,177,180,115,14
"Hombres (010)",377,2,27,112,131,93,12
"Mujeres (011)",149,1,10,65,49,22,2
,,,,,,,
"URBANA (012)",96191,1803,31852,27463,19747,11959,3367
"Hombres (013)",48935,907,16403,13767,9643,6426,1789
"Mujeres (014)",47256,896,15449,13696,10104,5533,1578
"Viviendas particulares (015)",94150,1782,31737,26446,19176,11678,3331
"Hombres (016)",47338,896,16334,12952,9202,6193,1761
"Mujeres (017)",46812,886,15403,13494,9974,5485,1570
"Viviendas colectivas (018)",1551,18,78,854,405,174,22
"Hombres (019)",1249,9,42,713,323,146,16
"Mujeres (020)",302,9,36,141,82,28,6
"Otro tipo (021)",490,3,37,163,166,107,14
"Hombres (022)",348,2,27,102,118,87,12
"Mujeres (023)",142,1,10,61,48,20,2
,,,,,,,
"RURAL (024)",72758,1549,25532,19777,13268,9292,3340
"Hombres (025)",40281,760,13173,11177,7581,5517,2073
"Mujeres (026)",32477,789,12359,8600,5687,3775,1267
"Viviendas particulares (027)",72235,1549,25520,19592,13049,9190,3335
"Hombres (028)",39811,760,13165,11006,7377,5433,2070
"Mujeres (029)",32424,789,12355,8586,5672,3757,1265
"Viviendas colectivas (030)",487,,12,171,205,94,5
"Hombres (031)",441,,8,161,191,78,3
"Mujeres (032)",46,,4,10,14,16,2
"Otro tipo (033)",36,,,14,14,8,
"Hombres (034)",29,,,10,13,6,
"Mujeres (035)",7,,,4,1,2,
