"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAROCHIRI (000)",26404,25386,7197,4064,3887,2825,3469,2057,1096,791,1018,66976
"De 12 a 14 años (001)",2173,2169,2157,9,3,,,,,,4,15
"De 15 a 19 años (002)",3153,3106,2721,326,49,10,,,,,47,454
"De 20 a 24 años (003)",3115,2791,1072,1111,478,104,25,1,,,324,2490
"De 25 a 29 años (004)",2757,2479,409,906,734,304,115,9,2,,278,3842
"De 30 a 34 años (005)",2632,2489,247,601,803,487,299,47,3,2,143,5286
"De 35 a 39 años (006)",2396,2322,136,360,610,549,513,126,25,3,74,6484
"De 40 a 44 años (007)",1945,1906,99,204,376,374,532,228,72,21,39,6716
"De 45 a 49 años (008)",1632,1602,71,129,257,304,426,262,112,41,30,6511
"De 50 y más años (009)",6601,6522,285,418,577,693,1559,1384,882,724,79,35178
"Sin nivel (010)",1644,1599,116,106,149,153,345,324,207,199,45,8518
"De 12 a 14 años (011)",32,32,32,,,,,,,,,
"De 15 a 19 años (012)",27,26,21,4,1,,,,,,1,6
"De 20 a 24 años (013)",32,28,12,11,4,,1,,,,4,24
"De 25 a 29 años (014)",28,23,4,5,6,6,1,1,,,5,46
"De 30 a 34 años (015)",117,109,10,13,35,23,23,4,1,,8,285
"De 35 a 39 años (016)",116,108,5,10,19,23,30,16,4,1,8,396
"De 40 a 44 años (017)",118,115,5,4,12,20,44,18,10,2,3,506
"De 45 a 49 años (018)",104,102,2,8,10,12,24,21,16,9,2,535
"De 50 y más años (019)",1070,1056,25,51,62,69,222,264,176,187,14,6720
"Educacion Inicial (020)",24,23,8,4,4,2,3,2,,,1,42
"De 12 a 14 años (021)",2,2,2,,,,,,,,,
"De 15 a 19 años (022)",4,4,4,,,,,,,,,
