"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YUNGUYO (000)",19018,16947,1122,346,603
"Agric., ganadería, caza y silvicultura (001)",11212,10897,308,5,2
"Pesca (002)",213,205,7,1,
"Explotación de minas y canteras (003)",5,1,1,1,2
"Industrias manufactureras (004)",1247,1098,128,15,6
"Suministro de electricidad, gas y agua (005)",10,3,1,5,1
"Construcción (006)",879,619,214,39,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2488,2368,112,8,
"Venta, mant.y rep. veh.autom y motoc. (008)",131,125,5,1,
"Comercio al por mayor (009)",135,127,7,1,
"Comercio al por menor (010)",2222,2116,100,6,
"Hoteles y restaurantes (011)",305,283,20,2,
"Trans., almac. y comunicaciones (012)",675,585,53,31,6
"Intermediación financiera (013)",22,14,5,3,
"Activid.inmobil., empres. y alquileres (014)",137,91,17,12,17
"Admin.pub. y defensa; p. segur soc.afil (015)",333,,,,333
"Enseñanza (016)",687,140,214,210,123
"Servicios sociales y de salud (017)",117,18,6,,93
"Otras activ. serv.comun.soc y personales (018)",112,87,15,6,4
"Hogares privados con servicio doméstico (019)",243,243,,,
"Actividad economica no especificada (021)",333,295,21,8,9
"Hombres (022)",10843,9350,778,246,469
"Agric., ganadería, caza y silvicultura (023)",5992,5817,172,2,1
"Pesca (024)",162,154,7,1,
"Explotación de minas y canteras (025)",4,1,1,,2
"Industrias manufactureras (026)",860,742,102,11,5
"Suministro de electricidad, gas y agua (027)",10,3,1,5,1
"Construcción (028)",866,612,214,35,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1100,1047,49,4,
"Venta, mant.y rep. veh.autom y motoc. (030)",111,105,5,1,
"Comercio al por mayor (031)",68,62,5,1,
"Comercio al por menor (032)",921,880,39,2,
"Hoteles y restaurantes (033)",80,73,6,1,
"Trans., almac. y comunicaciones (034)",649,560,52,31,6
"Intermediación financiera (035)",8,3,4,1,
"Activid.inmobil., empres. y alquileres (036)",106,68,12,12,14
"Admin.pub. y defensa; p. segur soc.afil (037)",290,,,,290
"Enseñanza (038)",426,72,130,134,90
"Servicios sociales y de salud (039)",60,12,4,,44
"Otras activ. serv.comun.soc y personales (040)",83,62,12,5,4
"Hogares privados con servicio doméstico (041)",15,15,,,
"Actividad economica no especificada (043)",132,109,12,4,7
