"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARHUAZ (000)",12889,10971,833,441,644
"Sin nivel (001)",2208,2107,70,5,26
"Educación inicial (002)",49,47,,1,1
"Primaria (003)",5167,4791,220,67,89
"Secundaria (004)",3273,2781,262,109,121
"Superior no univ. incompleta (005)",416,311,51,27,27
"Superior no univ. completa (006)",861,470,116,102,173
"Superior univ. incompleta (007)",262,166,26,29,41
"Superior univ. completa (008)",653,298,88,101,166
"De 06 a 14 años (010)",189,180,8,1,
"Sin nivel (011)",11,11,,,
"Educación inicial (012)",3,3,,,
"Primaria (013)",130,123,6,1,
"Secundaria (014)",45,43,2,,
"De 15 a 29 años (020)",4238,3548,340,152,198
"Sin nivel (021)",228,214,8,1,5
"Educación inicial (022)",30,28,,1,1
"Primaria (023)",1392,1281,67,23,21
"Secundaria (024)",1778,1508,163,62,45
"Superior no univ. incompleta (025)",225,174,26,13,12
"Superior no univ. completa (026)",290,174,41,24,51
"Superior univ. incompleta (027)",147,102,17,10,18
"Superior univ. completa (028)",148,67,18,18,45
"De 30 a 44 años (030)",4279,3516,293,192,278
"Sin nivel (031)",604,568,25,3,8
"Educación inicial (032)",16,16,,,
"Primaria (033)",1722,1591,82,21,28
"Secundaria (034)",991,848,64,36,43
"Superior no univ. incompleta (035)",135,101,16,8,10
"Superior no univ. completa (036)",417,221,50,53,93
"Superior univ. incompleta (037)",81,43,7,14,17
"Superior univ. completa (038)",313,128,49,57,79
"De 45 a 64 años (040)",3128,2718,160,91,159
"Sin nivel (041)",870,837,22,1,10
"Primaria (043)",1480,1367,55,20,38
"Secundaria (044)",400,325,31,11,33
"Superior no univ. incompleta (045)",48,29,9,5,5
"Superior no univ. completa (046)",140,64,24,24,28
"Superior univ. incompleta (047)",29,19,1,4,5
"Superior univ. completa (048)",161,77,18,26,40
"De 65 y más años (050)",1055,1009,32,5,9
"Sin nivel (051)",495,477,15,,3
"Primaria (053)",443,429,10,2,2
"Secundaria (054)",59,57,2,,
"Superior no univ. incompleta (055)",8,7,,1,
"Superior no univ. completa (056)",14,11,1,1,1
"Superior univ. incompleta (057)",5,2,1,1,1
"Superior univ. completa (058)",31,26,3,,2
,,,,,
"URBANA (060)",5250,4125,423,283,419
