"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARAVELI (000)",16677,10957,2378,1365,1977
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",56,2,8,7,39
"Profes., científicos e intelectuales (002)",754,212,155,262,125
"Técnicos de nivel medio y trab. asimilados (003)",488,219,49,59,161
"Jefes y empleados de oficina (004)",361,91,41,58,171
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2321,1857,261,140,63
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1894,1810,80,2,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4727,2491,1038,415,783
"Obreros construc.,conf.,papel, fab., instr. (008)",1207,904,135,72,96
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4463,3162,563,335,403
"Otra (010)",125,,,,125
"Ocupación no especificada (011)",281,209,48,15,9
"Hombres (012)",12594,7836,1963,1068,1727
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,2,3,2,29
"Profes., científicos e intelectuales (014)",348,80,70,127,71
"Técnicos de nivel medio y trab. asimilados (015)",332,125,37,46,124
"Jefes y empleados de oficina (016)",200,43,21,36,100
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",824,571,103,98,52
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1693,1618,71,2,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",4466,2298,1024,385,759
"Obreros construc.,conf.,papel, fab., instr. (020)",1197,896,134,71,96
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3236,2120,462,291,363
"Otra (022)",122,,,,122
"Ocupación no especificada (023)",140,83,38,10,9
"Mujeres (024)",4083,3121,415,297,250
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",20,,5,5,10
"Profes., científicos e intelectuales (026)",406,132,85,135,54
"Técnicos de nivel medio y trab. asimilados (027)",156,94,12,13,37
"Jefes y empleados de oficina (028)",161,48,20,22,71
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1497,1286,158,42,11
"Agricult.trabaj.calif.agrop.y pesqueros (030)",201,192,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",261,193,14,30,24
"Obreros construc.,conf.,papel, fab., instr. (032)",10,8,1,1,
