"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANCHIS (000)",33550,821,8929,11918,9128,2754
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",55,,3,24,26,2
"Profes., científicos e intelectuales (002)",3432,,598,1865,931,38
"Técnicos de nivel medio y trab. asimilados (003)",822,,298,325,180,19
"Jefes y empleados de oficina (004)",677,,297,253,121,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4100,58,1237,1556,1048,201
"Agricult. trabaj. calif.agrop. y pesqueros (006)",9246,72,1423,2819,3328,1604
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2222,39,841,737,497,108
"Obreros construc., conf., papel, fab., instr. (008)",2755,12,935,1138,621,49
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",9430,640,3036,2916,2176,662
"Otra (010)",163,,34,98,31,
"Ocupación no especificada (011)",648,,227,187,169,65
"Hombres (012)",19808,497,5158,7026,5451,1676
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",44,,2,21,19,2
"Profes., científicos e intelectuales (014)",1924,,279,1029,583,33
"Técnicos de nivel medio y trab. asimilados (015)",499,,183,188,114,14
"Jefes y empleados de oficina (016)",340,,100,151,84,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1377,30,432,518,325,72
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6688,41,968,2098,2426,1155
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1666,32,637,533,387,77
"Obreros construc., conf., papel, fab., instr. (020)",2646,10,886,1099,604,47
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",4226,384,1552,1228,815,247
"Otra (022)",162,,34,97,31,
"Ocupación no especificada (023)",236,,85,64,63,24
"Mujeres (024)",13742,324,3771,4892,3677,1078
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",11,,1,3,7,
"Profes., científicos e intelectuales (026)",1508,,319,836,348,5
"Técnicos de nivel medio y trab. asimilados (027)",323,,115,137,66,5
"Jefes y empleados de oficina (028)",337,,197,102,37,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2723,28,805,1038,723,129
"Agricult. trabaj. calif.agrop. y pesqueros (030)",2558,31,455,721,902,449
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",556,7,204,204,110,31
"Obreros construc., conf., papel, fab., instr. (032)",109,2,49,39,17,2
