"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHUPACA (000)",12330,50902,7198,30381,5132,20521
"Casa independiente (001)",12021,49725,7064,29675,4957,20050
"Departamento en edificio (002)",18,81,18,81,,
"Vivienda en quinta (003)",52,315,52,315,,
"Vivienda en casa de vecindad (004)",42,240,42,240,,
"Choza o cabaña (005)",173,465,,,173,465
"Vivienda improvisada (006)",2,5,2,5,,
"Local no dest.para hab. humana (007)",21,70,19,64,2,6
"Otro tipo (008)",1,1,1,1,,
