"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANCHEZ CARRION (000)",35416,31352,1441,987,1636
"Hombres (001)",27964,24948,1171,685,1160
"Mujeres (002)",7452,6404,270,302,476
"De 06 a 14 años (003)",1116,1091,15,9,1
"Hombres (004)",744,727,11,5,1
"Mujeres (005)",372,364,4,4,
"De 15 a 29 años (006)",13131,11712,589,329,501
"Hombres (007)",10235,9143,483,254,355
"Mujeres (008)",2896,2569,106,75,146
"De 30 a 44 años (009)",11160,9392,557,445,766
"Hombres (010)",8762,7510,437,284,531
"Mujeres (011)",2398,1882,120,161,235
"De 45 a 64 años (012)",7583,6786,242,193,362
"Hombres (013)",6153,5549,206,131,267
"Mujeres (014)",1430,1237,36,62,95
"De 65 y más años (015)",2426,2371,38,11,6
"Hombres (016)",2070,2019,34,11,6
"Mujeres (017)",356,352,4,,
,,,,,
"URBANA (018)",10916,7981,825,754,1356
"Hombres (019)",7020,4998,601,482,939
"Mujeres (020)",3896,2983,224,272,417
"De 06 a 14 años (021)",196,186,3,6,1
"Hombres (022)",127,120,3,3,1
"Mujeres (023)",69,66,,3,
"De 15 a 29 años (024)",3682,2770,315,219,378
"Hombres (025)",2367,1723,236,157,251
"Mujeres (026)",1315,1047,79,62,127
"De 30 a 44 años (027)",4114,2766,351,358,639
"Hombres (028)",2562,1670,242,212,438
"Mujeres (029)",1552,1096,109,146,201
"De 45 a 64 años (030)",2453,1816,143,161,333
"Hombres (031)",1629,1175,110,100,244
"Mujeres (032)",824,641,33,61,89
"De 65 y más años (033)",471,443,13,10,5
"Hombres (034)",335,310,10,10,5
"Mujeres (035)",136,133,3,,
,,,,,
"RURAL (036)",24500,23371,616,233,280
"Hombres (037)",20944,19950,570,203,221
"Mujeres (038)",3556,3421,46,30,59
"De 06 a 14 años (039)",920,905,12,3,
"Hombres (040)",617,607,8,2,
"Mujeres (041)",303,298,4,1,
"De 15 a 29 años (042)",9449,8942,274,110,123
"Hombres (043)",7868,7420,247,97,104
"Mujeres (044)",1581,1522,27,13,19
"De 30 a 44 años (045)",7046,6626,206,87,127
"Hombres (046)",6200,5840,195,72,93
"Mujeres (047)",846,786,11,15,34
"De 45 a 64 años (048)",5130,4970,99,32,29
"Hombres (049)",4524,4374,96,31,23
"Mujeres (050)",606,596,3,1,6
"De 65 y más años (051)",1955,1928,25,1,1
"Hombres (052)",1735,1709,24,1,1
"Mujeres (053)",220,219,1,,
