"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARAL (000)",65858,2673,73,15602,30567,3871,4726,2911,5435
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",109,,,1,14,2,16,5,71
"Profes., científicos e intelectuales (002)",4647,,,,176,286,532,755,2898
"Técnicos de nivel medio ytrab.asimilados (003)",2728,1,,58,645,537,777,291,419
"Jefes y empleados de oficina (004)",2323,,,22,823,269,549,267,393
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",10889,317,14,2221,5794,769,843,465,466
"Agricult.trabaj. calif.agrop. y pesquros (006)",7477,438,6,2931,3222,231,254,175,220
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",4299,51,4,697,2480,316,434,137,180
"Obreros. construc., conf., papel, fab., instr (008)",7852,114,3,1580,4990,398,308,248,211
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",23916,1699,44,7750,11730,969,781,494,449
"Otra (010)",286,,,,61,13,132,28,52
"Ocupación no especificada (011)",1332,53,2,342,632,81,100,46,76
"Hombres (012)",43411,1186,40,10196,22346,2429,2487,1767,2960
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",79,,,1,10,1,12,5,50
"Profes., científicos e intelectuales (014)",2081,,,,61,142,171,353,1354
"Técnicos de nivel medio ytrab.asimilados (015)",1687,1,,36,456,376,403,188,227
"Jefes y empleados de oficina (016)",1084,,,14,484,115,162,120,189
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",4817,44,4,878,2833,336,273,229,220
"Agricult.trabaj. calif.agrop. y pesquros (018)",6346,269,6,2395,2905,197,224,154,196
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",3650,34,4,583,2159,262,360,109,139
"Obreros. construc., conf., papel, fab., instr (020)",7532,95,3,1507,4816,378,292,241,200
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",15156,721,21,4629,8181,561,429,319,295
"Otra (022)",268,,,,58,13,124,25,48
"Ocupación no especificada (023)",711,22,2,153,383,48,37,24,42
"Mujeres (024)",22447,1487,33,5406,8221,1442,2239,1144,2475
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",30,,,,4,1,4,,21
"Profes., científicos e intelectuales (026)",2566,,,,115,144,361,402,1544
"Técnicos de nivel medio ytrab.asimilados (027)",1041,,,22,189,161,374,103,192
"Jefes y empleados de oficina (028)",1239,,,8,339,154,387,147,204
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",6072,273,10,1343,2961,433,570,236,246
"Agricult.trabaj. calif.agrop. y pesquros (030)",1131,169,,536,317,34,30,21,24
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",649,17,,114,321,54,74,28,41
"Obreros. construc., conf., papel, fab., instr (032)",320,19,,73,174,20,16,7,11
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",8760,978,23,3121,3549,408,352,175,154
"Otra (034)",18,,,,3,,8,3,4
"Ocupación no especificada (035)",621,31,,189,249,33,63,22,34
,,,,,,,,,
"URBANA (036)",54274,1588,56,11906,25692,3394,4128,2556,4954
