"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BAGUA (000)",19604,9747,9857
"Casa independiente (001)",15845,8779,7066
"Departamento en edificio (002)",92,92,
"Vivienda en quinta (003)",541,541,
"Vivienda en casa de vecindad (004)",283,283,
"Choza o cabaña (005)",2784,,2784
"Vivienda improvisada (006)",26,26,
"Local no dest.para hab. humana (007)",23,21,2
"Otro tipo (008)",10,5,5
