"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MARCOS (000)",18955,18111,5134,2480,2526,1885,2604,1746,1049,687,844,52493
"De 12 a 14 años (001)",1922,1899,1883,10,6,,,,,,23,22
"De 15 a 19 años (002)",2523,2413,2017,339,46,7,4,,,,110,468
"De 20 a 24 años (003)",2039,1792,538,739,377,96,35,7,,,247,1974
"De 25 a 29 años (004)",1851,1678,157,526,534,301,140,14,6,,173,3222
"De 30 a 34 años (005)",1744,1657,93,294,513,377,292,72,14,2,87,4310
"De 35 a 39 años (006)",1661,1590,61,175,380,341,415,154,54,10,71,5331
"De 40 a 44 años (007)",1370,1322,53,94,201,242,381,234,86,31,48,5461
"De 45 a 49 años (008)",1193,1174,55,71,141,149,332,241,132,53,19,5520
"De 50 y más años (009)",4652,4586,277,232,328,372,1005,1024,757,591,66,26185
"Sin nivel (010)",5058,4909,378,411,560,516,1045,909,631,459,149,24096
"De 12 a 14 años (011)",32,32,30,1,1,,,,,,,3
"De 15 a 19 años (012)",144,138,90,36,10,,2,,,,6,64
"De 20 a 24 años (013)",248,220,37,74,65,30,13,1,,,28,354
"De 25 a 29 años (014)",321,302,15,67,99,68,44,5,4,,19,720
"De 30 a 34 años (015)",369,349,17,45,89,87,79,25,6,1,20,1044
"De 35 a 39 años (016)",396,378,12,23,51,68,123,71,22,8,18,1597
"De 40 a 44 años (017)",409,394,19,27,37,49,120,88,43,11,15,1823
"De 45 a 49 años (018)",472,467,17,24,38,46,127,113,69,33,5,2481
"De 50 y más años (019)",2667,2629,141,114,170,168,537,606,487,406,38,16010
"Educacion Inicial (020)",27,24,5,2,8,6,1,2,,,3,52
"De 12 a 14 años (021)",3,2,2,,,,,,,,1,
