"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia AMBO (000)",13643,68,284,808,1521,2953,5330,2679
"De 12 a 14 años (001)",15,,,,,,1,14
"De 15 a 19 años (002)",361,,,,,,234,127
"De 20 a 24 años (003)",1311,,,,,3,855,453
"De 25 a 29 años (004)",1636,,,,,99,1150,387
"De 30 a 34 años (005)",1640,,,,,260,1132,248
"De 35 a 39 años (006)",1605,,,,10,443,943,209
"De 40 a 44 años (007)",1387,,,1,57,570,607,152
"De 45 a 49 años (008)",1222,,,7,118,618,325,154
"De 50 y más años (009)",4466,68,284,800,1336,960,83,935
"Sin nivel (010)",4715,43,185,528,779,997,1270,913
"De 15 a 19 años (012)",40,,,,,,21,19
"De 20 a 24 años (013)",147,,,,,,106,41
"De 25 a 29 años (014)",281,,,,,12,213,56
"De 30 a 34 años (015)",309,,,,,36,233,40
"De 35 a 39 años (016)",388,,,,,75,279,34
"De 40 a 44 años (017)",417,,,,10,130,229,48
"De 45 a 49 años (018)",419,,,,27,201,142,49
"De 50 y más años (019)",2714,43,185,528,742,543,47,626
"Educacion Inicial (020)",12,,,,,2,9,1
"De 20 a 24 años (023)",4,,,,,,3,1
"De 30 a 34 años (025)",6,,,,,1,5,
"De 35 a 39 años (026)",2,,,,,1,1,
"Primaria (030)",5996,22,83,219,580,1421,2690,981
"De 12 a 14 años (031)",9,,,,,,1,8
"De 15 a 19 años (032)",179,,,,,,122,57
"De 20 a 24 años (033)",635,,,,,2,448,185
"De 25 a 29 años (034)",774,,,,,53,558,163
"De 30 a 34 años (035)",865,,,,,137,635,93
"De 35 a 39 años (036)",792,,,,6,238,450,98
"De 40 a 44 años (037)",693,,,1,24,315,290,63
"De 45 a 49 años (038)",594,,,4,53,310,156,71
"De 50 y más años (039)",1455,22,83,214,497,366,30,243
"Secundaria (040)",2053,2,12,36,114,384,1008,497
"De 12 a 14 años (041)",6,,,,,,,6
"De 15 a 19 años (042)",137,,,,,,88,49
"De 20 a 24 años (043)",395,,,,,1,242,152
"De 25 a 29 años (044)",422,,,,,26,293,103
"De 30 a 34 años (045)",272,,,,,61,159,52
"De 35 a 39 años (046)",277,,,,4,92,140,41
"De 40 a 44 años (047)",201,,,,17,94,63,27
"De 45 a 49 años (048)",141,,,2,26,72,20,21
"De 50 y más años (049)",202,2,12,34,67,38,3,46
"Sup. no Univ. incompleta (050)",200,,,8,5,27,99,61
"De 15 a 19 años (052)",2,,,,,,1,1
"De 20 a 24 años (053)",47,,,,,,26,21
"De 25 a 29 años (054)",44,,,,,3,25,16
"De 30 a 34 años (055)",43,,,,,3,29,11
