"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ISLAY (000)",22701,4645,7547,7268,512,921,378,1430
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",43,34,,,9,,,
"Profes., científicos e intelectuales (002)",1213,1031,,167,13,2,,
"Técnicos de nivel medio y trab. asimilados (003)",936,630,,259,41,5,1,
"Jefes y empleados de oficina (004)",899,891,,1,,7,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2968,849,44,1752,58,263,2,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2154,10,135,1693,315,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1524,,733,742,28,21,,
"Obreros construc.,conf.,papel, fab., instr. (008)",2062,234,780,1002,30,16,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8589,651,5769,1240,5,549,375,
"Otra (010)",248,248,,,,,,
"Ocupaciñn no especificada (011)",635,67,86,412,13,57,,
"Desocupado (012)",1430,,,,,,,1430
"Hombres (013)",14643,2638,5529,4608,400,414,38,1016
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",26,18,,,8,,,
"Profes., científicos e intelectuales (015)",527,402,,110,13,2,,
"Técnicos de nivel medio y trab. asimilados (016)",611,394,,182,32,3,,
"Jefes y empleados de oficina (017)",451,450,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1103,504,17,506,25,51,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",1861,8,133,1459,260,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1324,,677,606,23,18,,
"Obreros construc.,conf.,papel, fab., instr. (021)",2011,233,763,972,29,14,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",5024,357,3891,435,2,301,38,
"Otra (023)",237,237,,,,,,
"Ocupaciñn no especificada (024)",452,35,48,338,8,23,,
"Desocupado (025)",1016,,,,,,,1016
"Mujeres (026)",8058,2007,2018,2660,112,507,340,414
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",17,16,,,1,,,
"Profes., científicos e intelectuales (028)",686,629,,57,,,,
"Técnicos de nivel medio y trab. asimilados (029)",325,236,,77,9,2,1,
"Jefes y empleados de oficina (030)",448,441,,1,,6,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1865,345,27,1246,33,212,2,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",293,2,2,234,55,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",200,,56,136,5,3,,
"Obreros construc.,conf.,papel, fab., instr. (034)",51,1,17,30,1,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",3565,294,1878,805,3,248,337,
"Otra (036)",11,11,,,,,,
"Ocupaciñn no especificada (037)",183,32,38,74,5,34,,
"Desocupado (038)",414,,,,,,,414
,,,,,,,,
"URBANA (039)",20071,4405,6096,6777,372,731,369,1321
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",42,33,,,9,,,
"Profes., científicos e intelectuales (041)",1166,987,,165,12,2,,
"Técnicos de nivel medio y trab. asimilados (042)",900,608,,246,40,5,1,
"Jefes y empleados de oficina (043)",860,852,,1,,7,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",2838,813,32,1683,57,251,2,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1601,8,55,1356,181,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1384,,608,727,28,21,,
"Obreros construc.,conf.,papel, fab., instr. (047)",1940,212,712,972,29,15,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",7206,633,4609,1218,5,375,366,
"Otra (049)",194,194,,,,,,
"Ocupaciñn no especificada (050)",619,65,80,409,11,54,,
"Desocupado (051)",1321,,,,,,,1321
"Hombres (052)",12706,2448,4440,4233,288,326,35,936
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",26,18,,,8,,,
"Profes., científicos e intelectuales (054)",497,375,,108,12,2,,
"Técnicos de nivel medio y trab. asimilados (055)",582,374,,174,31,3,,
"Jefes y empleados de oficina (056)",427,426,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",1045,474,11,484,25,51,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1380,6,53,1167,153,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1189,,554,594,23,18,,
"Obreros construc.,conf.,papel, fab., instr. (060)",1889,211,695,942,28,13,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",4105,345,3082,427,2,214,35,
"Otra (062)",185,185,,,,,,
"Ocupaciñn no especificada (063)",445,34,45,337,6,23,,
"Desocupado (064)",936,,,,,,,936
"Mujeres (065)",7365,1957,1656,2544,84,405,334,385
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",16,15,,,1,,,
"Profes., científicos e intelectuales (067)",669,612,,57,,,,
"Técnicos de nivel medio y trab. asimilados (068)",318,234,,72,9,2,1,
"Jefes y empleados de oficina (069)",433,426,,1,,6,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",1793,339,21,1199,32,200,2,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",221,2,2,189,28,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",195,,54,133,5,3,,
"Obreros construc.,conf.,papel, fab., instr. (073)",51,1,17,30,1,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",3101,288,1527,791,3,161,331,
"Otra (075)",9,9,,,,,,
"Ocupaciñn no especificada (076)",174,31,35,72,5,31,,
"Desocupado (077)",385,,,,,,,385
,,,,,,,,
"RURAL (078)",2630,240,1451,491,140,190,9,109
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",1,1,,,,,,
"Profes., científicos e intelectuales (080)",47,44,,2,1,,,
"Técnicos de nivel medio y trab. asimilados (081)",36,22,,13,1,,,
"Jefes y empleados de oficina (082)",39,39,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",130,36,12,69,1,12,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",553,2,80,337,134,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",140,,125,15,,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",122,22,68,30,1,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",1383,18,1160,22,,174,9,
"Otra (088)",54,54,,,,,,
"Ocupaciñn no especificada (089)",16,2,6,3,2,3,,
"Desocupado (090)",109,,,,,,,109
"Hombres (091)",1937,190,1089,375,112,88,3,80
"Profes., científicos e intelectuales (093)",30,27,,2,1,,,
"Técnicos de nivel medio y trab. asimilados (094)",29,20,,8,1,,,
"Jefes y empleados de oficina (095)",24,24,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",58,30,6,22,,,,
