"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Hoteles y restaurantes (103)",211,17,76,57,50,11
"Trans., almac. y comunicaciones (104)",1413,12,675,505,210,11
"Intermediación financiera (105)",22,,12,8,2,
"Activid.inmobil., empres. y alquileres (106)",275,,97,102,66,10
"Admin.pub. y defensa; p. segur.soc afil (107)",666,,188,335,135,8
"Enseñanza (108)",707,,101,386,217,3
"Servicios sociales y de salud (109)",125,,28,60,32,5
"Otras activ. serv.comun.soc y personales (110)",224,5,93,66,47,13
"Hogares privados con servicio doméstico (111)",31,6,17,3,2,3
"Actividad economica no especificada (113)",112,,50,42,10,10
"Desocupado (114)",735,31,335,197,141,31
"Mujeres (115)",4759,123,1714,1898,899,125
"Agric., ganadería, caza y silvicultura (116)",463,18,139,161,114,31
"Explotación de minas y canteras (118)",3,,2,1,,
"Industrias manufactureras (119)",155,2,50,67,33,3
"Suministro de electricidad, gas y agua (120)",2,,,2,,
"Construcción (121)",25,,10,14,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1219,29,385,500,269,36
"Venta, mant.y rep. veh.autom.y motoc. (123)",29,,12,14,3,
"Comercio al por mayor (124)",61,,23,23,15,
"Comercio al por menor (125)",1129,29,350,463,251,36
"Hoteles y restaurantes (126)",626,34,223,215,133,21
"Trans., almac. y comunicaciones (127)",62,,44,15,3,
"Intermediación financiera (128)",14,,10,3,1,
"Activid.inmobil., empres. y alquileres (129)",91,,57,27,7,
"Admin.pub. y defensa; p. segur.soc afil (130)",238,,82,98,57,1
"Enseñanza (131)",643,,118,398,127,
"Servicios sociales y de salud (132)",153,1,63,68,19,2
"Otras activ. serv.comun.soc y personales (133)",170,6,52,78,31,3
"Hogares privados con servicio doméstico (134)",428,20,242,110,45,11
"Actividad economica no especificada (136)",228,,75,94,44,15
"Desocupado (137)",239,13,162,47,15,2
,,,,,,
"RURAL (138)",19788,740,7697,6001,4086,1264
"Agric., ganadería, caza y silvicultura (139)",17490,637,6828,5168,3662,1195
"Pesca (140)",1,,,1,,
"Explotación de minas y canteras (141)",1,,,1,,
"Industrias manufactureras (142)",117,8,40,44,19,6
"Suministro de electricidad, gas y agua (143)",2,1,,,1,
"Construcción (144)",133,2,40,50,36,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",316,9,75,136,80,16
"Venta, mant.y rep. veh.autom.y motoc. (146)",23,,10,8,5,
"Comercio al por mayor (147)",26,,8,10,8,
"Comercio al por menor (148)",267,9,57,118,67,16
"Hoteles y restaurantes (149)",80,3,21,33,20,3
"Trans., almac. y comunicaciones (150)",217,5,94,83,34,1
"Intermediación financiera (151)",2,,2,,,
"Activid.inmobil., empres. y alquileres (152)",27,,10,9,7,1
"Admin.pub. y defensa; p. segur.soc afil (153)",64,,28,25,11,
"Enseñanza (154)",357,,105,190,62,
"Servicios sociales y de salud (155)",49,,25,15,9,
"Otras activ. serv.comun.soc y personales (156)",40,2,11,17,9,1
"Hogares privados con servicio doméstico (157)",70,6,44,13,6,1
"Actividad economica no especificada (159)",150,,52,47,40,11
"Desocupado (160)",672,67,322,169,90,24
"Hombres (161)",17579,599,6785,5331,3682,1182
"Agric., ganadería, caza y silvicultura (162)",16085,538,6249,4780,3387,1131
"Pesca (163)",1,,,1,,
"Industrias manufactureras (165)",80,5,26,29,15,5
"Suministro de electricidad, gas y agua (166)",1,,,,1,
"Construcción (167)",131,2,40,50,35,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",177,7,39,77,41,13
"Venta, mant.y rep. veh.autom.y motoc. (169)",23,,10,8,5,
"Comercio al por mayor (170)",19,,5,7,7,
"Comercio al por menor (171)",135,7,24,62,29,13
"Hoteles y restaurantes (172)",12,1,2,4,4,1
"Trans., almac. y comunicaciones (173)",217,5,94,83,34,1
"Activid.inmobil., empres. y alquileres (175)",22,,7,8,6,1
"Admin.pub. y defensa; p. segur.soc afil (176)",41,,12,21,8,
"Enseñanza (177)",187,,42,100,45,
"Servicios sociales y de salud (178)",17,,8,4,5,
"Otras activ. serv.comun.soc y personales (179)",21,2,4,10,5,
"Hogares privados con servicio doméstico (180)",6,1,3,1,1,
"Actividad economica no especificada (182)",33,,11,8,11,3
"Desocupado (183)",548,38,248,155,84,23
"Mujeres (184)",2209,141,912,670,404,82
"Agric., ganadería, caza y silvicultura (185)",1405,99,579,388,275,64
"Explotación de minas y canteras (187)",1,,,1,,
"Industrias manufactureras (188)",37,3,14,15,4,1
"Suministro de electricidad, gas y agua (189)",1,1,,,,
"Construcción (190)",2,,,,1,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",139,2,36,59,39,3
"Comercio al por mayor (193)",7,,3,3,1,
"Comercio al por menor (194)",132,2,33,56,38,3
"Hoteles y restaurantes (195)",68,2,19,29,16,2
"Intermediación financiera (197)",2,,2,,,
"Activid.inmobil., empres. y alquileres (198)",5,,3,1,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",23,,16,4,3,
"Enseñanza (200)",170,,63,90,17,
"Servicios sociales y de salud (201)",32,,17,11,4,
"Otras activ. serv.comun.soc y personales (202)",19,,7,7,4,1
"Hogares privados con servicio doméstico (203)",64,5,41,12,5,1
"Actividad economica no especificada (205)",117,,41,39,29,8
"Desocupado (206)",124,29,74,14,6,1
