"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANTA (000)",6008,95,1784,1890,1583,656
"Agric., ganadería, caza y silvicultura (001)",3684,80,1019,1058,1020,507
"Pesca (002)",16,,7,7,1,1
"Explotación de minas y canteras (003)",133,3,60,48,20,2
"Industrias manufactureras (004)",112,1,41,36,21,13
"Suministro de electricidad, gas y agua (005)",12,,4,8,,
"Construcción (006)",249,,113,80,42,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",461,3,104,165,147,42
"Venta, mant.y rep. veh.autom.y motoc. (008)",29,,9,12,7,1
"Comercio al por mayor (009)",22,,4,5,10,3
"Comercio al por menor (010)",410,3,91,148,130,38
"Hoteles y restaurantes (011)",283,4,91,105,62,21
"Trans., almac. y comunicaciones (012)",210,1,90,68,47,4
"Intermediación financiera (013)",6,,3,1,1,1
"Activid.inmobil., empres. y alquileres (014)",98,,32,39,23,4
"Admin.pub. y defensa; p. segur.soc.afil (015)",173,,47,78,43,5
"Enseñanza (016)",191,,29,91,70,1
"Servicios sociales y de salud (017)",49,,14,23,10,2
"Otras activ. serv.comun.soc y personales (018)",119,,48,36,30,5
"Hogares privados con servicio doméstico (019)",81,3,41,14,19,4
"Actividad economica no especificada (021)",131,,41,33,27,30
"Hombres (022)",4072,61,1250,1237,1062,462
"Agric., ganadería, caza y silvicultura (023)",2711,56,780,765,742,368
"Pesca (024)",16,,7,7,1,1
"Explotación de minas y canteras (025)",117,2,50,43,20,2
"Industrias manufactureras (026)",84,1,30,27,15,11
"Suministro de electricidad, gas y agua (027)",10,,3,7,,
"Construcción (028)",243,,109,78,42,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",206,1,41,69,68,27
"Venta, mant.y rep. veh.autom.y motoc. (030)",27,,9,11,6,1
"Comercio al por mayor (031)",10,,2,1,5,2
"Comercio al por menor (032)",169,1,30,57,57,24
"Hoteles y restaurantes (033)",72,1,24,23,17,7
"Trans., almac. y comunicaciones (034)",202,,87,66,46,3
"Intermediación financiera (035)",4,,2,1,,1
"Activid.inmobil., empres. y alquileres (036)",72,,19,27,22,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",105,,26,50,24,5
"Enseñanza (038)",78,,12,30,35,1
"Servicios sociales y de salud (039)",15,,4,8,3,
"Otras activ. serv.comun.soc y personales (040)",79,,39,20,17,3
"Hogares privados con servicio doméstico (041)",5,,2,1,2,
