"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARABAYA (000)",24576,21197,1457,943,979
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",31,1,2,2,26
"Profes., científicos e intelectuales (002)",1015,278,309,296,132
"Técnicos de nivel medio y trab. asimilados (003)",288,116,30,31,111
"Jefes y empleados de oficina (004)",285,33,25,33,194
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1532,1447,37,23,25
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9663,9501,159,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1483,1010,267,121,85
"Obreros construc.,conf.,papel, fab., instr. (008)",830,470,118,132,110
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8967,7996,460,278,233
"Otra (010)",55,,,,55
"Ocupación no especificada (011)",427,345,50,24,8
"Hombres (012)",15403,12689,1146,798,770
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",24,1,1,1,21
"Profes., científicos e intelectuales (014)",640,142,199,212,87
"Técnicos de nivel medio y trab. asimilados (015)",201,86,23,29,63
"Jefes y empleados de oficina (016)",195,23,15,22,135
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",545,494,14,18,19
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7436,7315,118,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1362,909,256,118,79
"Obreros construc.,conf.,papel, fab., instr. (020)",813,460,117,130,106
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3928,3122,362,244,200
"Otra (022)",55,,,,55
"Ocupación no especificada (023)",204,137,41,21,5
"Mujeres (024)",9173,8508,311,145,209
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,1,1,5
"Profes., científicos e intelectuales (026)",375,136,110,84,45
"Técnicos de nivel medio y trab. asimilados (027)",87,30,7,2,48
"Jefes y empleados de oficina (028)",90,10,10,11,59
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",987,953,23,5,6
"Agricult.trabaj.calif.agrop.y pesqueros (030)",2227,2186,41,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",121,101,11,3,6
"Obreros construc.,conf.,papel, fab., instr. (032)",17,10,1,2,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",5039,4874,98,34,33
