"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SAN IGNACIO (000)",87966,16711,17888,18400,14000,9360,11607
"Conviviente (001)",32738,606,5901,11277,7846,3869,3239
"Separado(a) (002)",2385,40,404,501,500,390,550
"Casado(a) (003)",16824,28,656,2822,4064,4075,5179
"Viudo(a) (004)",2716,5,17,77,208,395,2014
"Divorciado(a) (005)",275,,20,43,60,56,96
"Soltero(a) (006)",33028,16032,10890,3680,1322,575,529
"Hombres (008)",47489,8857,9814,9722,7511,5107,6478
"Conviviente (009)",16308,173,1930,5674,4329,2244,1958
"Separado(a) (010)",780,3,46,117,171,185,258
"Casado(a) (011)",8475,9,171,1156,1921,2097,3121
"Viudo(a) (012)",869,1,5,21,56,113,673
"Divorciado(a) (013)",118,,2,17,29,25,45
"Soltero(a) (014)",20939,8671,7660,2737,1005,443,423
"Mujeres (016)",40477,7854,8074,8678,6489,4253,5129
"Conviviente (017)",16430,433,3971,5603,3517,1625,1281
"Separado(a) (018)",1605,37,358,384,329,205,292
"Casado(a) (019)",8349,19,485,1666,2143,1978,2058
"Viudo(a) (020)",1847,4,12,56,152,282,1341
"Divorciado(a) (021)",157,,18,26,31,31,51
"Soltero(a) (022)",12089,7361,3230,943,317,132,106
,,,,,,,
"URBANA (024)",15161,2785,2991,3217,2557,1691,1920
"Conviviente (025)",4849,76,730,1752,1283,623,385
"Separado(a) (026)",539,6,69,111,136,94,123
"Casado(a) (027)",3097,3,73,453,810,794,964
"Viudo(a) (028)",422,,1,8,44,54,315
"Divorciado(a) (029)",48,,1,8,8,11,20
"Soltero(a) (030)",6206,2700,2117,885,276,115,113
"Hombres (032)",7764,1346,1564,1578,1306,934,1036
"Conviviente (033)",2381,32,219,824,694,371,241
"Separado(a) (034)",173,1,8,23,45,42,54
"Casado(a) (035)",1574,1,22,175,376,434,566
"Viudo(a) (036)",105,,,,6,10,89
"Divorciado(a) (037)",19,,,5,2,4,8
"Soltero(a) (038)",3512,1312,1315,551,183,73,78
"Mujeres (040)",7397,1439,1427,1639,1251,757,884
"Conviviente (041)",2468,44,511,928,589,252,144
"Separado(a) (042)",366,5,61,88,91,52,69
"Casado(a) (043)",1523,2,51,278,434,360,398
"Viudo(a) (044)",317,,1,8,38,44,226
"Divorciado(a) (045)",29,,1,3,6,7,12
"Soltero(a) (046)",2694,1388,802,334,93,42,35
,,,,,,,
"RURAL (048)",72805,13926,14897,15183,11443,7669,9687
"Conviviente (049)",27889,530,5171,9525,6563,3246,2854
"Separado(a) (050)",1846,34,335,390,364,296,427
"Casado(a) (051)",13727,25,583,2369,3254,3281,4215
"Viudo(a) (052)",2294,5,16,69,164,341,1699
"Divorciado(a) (053)",227,,19,35,52,45,76
"Soltero(a) (054)",26822,13332,8773,2795,1046,460,416
"Hombres (056)",39725,7511,8250,8144,6205,4173,5442
"Conviviente (057)",13927,141,1711,4850,3635,1873,1717
"Separado(a) (058)",607,2,38,94,126,143,204
"Casado(a) (059)",6901,8,149,981,1545,1663,2555
"Viudo(a) (060)",764,1,5,21,50,103,584
"Divorciado(a) (061)",99,,2,12,27,21,37
"Soltero(a) (062)",17427,7359,6345,2186,822,370,345
"Mujeres (064)",33080,6415,6647,7039,5238,3496,4245
"Conviviente (065)",13962,389,3460,4675,2928,1373,1137
"Separado(a) (066)",1239,32,297,296,238,153,223
"Casado(a) (067)",6826,17,434,1388,1709,1618,1660
"Viudo(a) (068)",1530,4,11,48,114,238,1115
"Divorciado(a) (069)",128,,17,23,25,24,39
"Soltero(a) (070)",9395,5973,2428,609,224,90,71
