"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN PABLO (000)",19910,4807,5807,4185,3231,1880
"Sin nivel (001)",3029,141,300,589,948,1051
"Educación inicial (002)",209,200,5,4,,
"Primaria (003)",11252,3791,2677,2237,1758,789
"Secundaria (004)",4131,675,2331,792,311,22
"Superior no univ. incompleta (005)",338,,231,80,22,5
"Superior no univ. completa (006)",643,,190,358,90,5
"Superior univ. incompleta (007)",80,,34,25,18,3
"Superior univ. completa (008)",228,,39,100,84,5
"PEA (010)",6729,210,2308,2174,1524,513
"Sin nivel (011)",641,10,70,146,230,185
"Educación inicial (012)",8,4,,4,,
"Primaria (013)",3606,168,1170,1045,911,312
"Secundaria (014)",1592,28,848,506,202,8
"Superior no univ. incompleta (015)",120,,50,54,13,3
"Superior no univ. completa (016)",510,,129,303,76,2
"Superior univ. incompleta (017)",50,,10,22,17,1
"Superior univ. completa (018)",202,,31,94,75,2
"Ocupada (020)",5923,172,1825,1981,1455,490
"Sin nivel (021)",582,4,54,130,216,178
"Educación inicial (022)",8,4,,4,,
"Primaria (023)",3178,138,920,955,869,296
"Secundaria (024)",1353,26,675,452,192,8
"Superior no univ. incompleta (025)",109,,44,50,12,3
"Superior no univ. completa (026)",457,,98,282,75,2
"Superior univ. incompleta (027)",48,,10,21,16,1
"Superior univ. completa (028)",188,,24,87,75,2
"Desocupada (030)",806,38,483,193,69,23
"Sin nivel (031)",59,6,16,16,14,7
"Primaria (033)",428,30,250,90,42,16
