"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUARMEY (000)",6602,27279,4818,20609,1784,6670
"Casa independiente (001)",6340,26268,4649,19981,1691,6287
"Departamento en edificio (002)",13,58,13,58,,
"Vivienda en quinta (003)",67,212,67,212,,
"Vivienda en casa de vecindad (004)",46,175,46,175,,
"Choza o cabaña (005)",92,382,,,92,382
"Vivienda improvisada (006)",37,157,37,157,,
"Local no dest.para hab. humana (007)",7,27,6,26,1,1
