"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CELENDIN (000)",24922,2755,3354,13468,334,2923,693,1395
"Agric., ganadería, caza y silvicultura (001)",14506,11,2104,9707,233,2451,,
"Explotación de minas y canteras (003)",41,6,35,,,,,
"Industrias manufactureras (004)",1508,11,193,1176,18,110,,
"Suministro de electricidad, gas y agua (005)",19,7,11,1,,,,
"Construcción (006)",772,27,574,135,17,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1589,159,16,1227,21,166,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",112,6,13,83,4,6,,
"Comercio al por mayor (009)",57,8,,39,7,3,,
"Comercio al por menor (010)",1420,145,3,1105,10,157,,
"Hoteles y restaurantes (011)",393,92,11,249,11,30,,
"Trans., almac. y comunicaciones (012)",508,138,50,301,11,8,,
"Intermediación financiera (013)",17,15,,1,1,,,
"Activid.inmobil., empres. y alquileres (014)",137,86,15,34,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",369,259,110,,,,,
"Enseñanza (016)",1608,1508,,93,,7,,
"Servicios sociales y de salud (017)",169,143,,25,,1,,
"Otras activ. serv.comun.soc y personales (018)",357,142,81,119,2,13,,
"Hogares privados con servicio doméstico (019)",693,,,,,,693,
"Actividad economica no especificada (021)",841,151,154,400,18,118,,
"Desocupado (022)",1395,,,,,,,1395
"Hombres (023)",18926,1453,2873,11013,287,2242,26,1032
"Agric., ganadería, caza y silvicultura (024)",13538,11,1815,9372,221,2119,,
"Explotación de minas y canteras (026)",40,5,35,,,,,
"Industrias manufactureras (027)",419,7,106,274,12,20,,
"Suministro de electricidad, gas y agua (028)",15,4,10,1,,,,
"Construcción (029)",765,26,570,133,17,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",760,60,16,636,14,34,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",103,5,13,77,4,4,,
"Comercio al por mayor (032)",36,2,,31,3,,,
"Comercio al por menor (033)",621,53,3,528,7,30,,
"Hoteles y restaurantes (034)",72,26,5,33,4,4,,
"Trans., almac. y comunicaciones (035)",471,111,48,297,8,7,,
"Intermediación financiera (036)",15,13,,1,1,,,
"Activid.inmobil., empres. y alquileres (037)",89,51,8,28,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",284,194,90,,,,,
"Enseñanza (039)",770,730,,34,,6,,
"Servicios sociales y de salud (040)",74,54,,20,,,,
"Otras activ. serv.comun.soc y personales (041)",217,80,62,64,2,9,,
"Hogares privados con servicio doméstico (042)",26,,,,,,26,
"Actividad economica no especificada (044)",339,81,108,120,6,24,,
"Desocupado (045)",1032,,,,,,,1032
"Mujeres (046)",5996,1302,481,2455,47,681,667,363
"Agric., ganadería, caza y silvicultura (047)",968,,289,335,12,332,,
"Explotación de minas y canteras (049)",1,1,,,,,,
"Industrias manufactureras (050)",1089,4,87,902,6,90,,
"Suministro de electricidad, gas y agua (051)",4,3,1,,,,,
"Construcción (052)",7,1,4,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",829,99,,591,7,132,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",9,1,,6,,2,,
"Comercio al por mayor (055)",21,6,,8,4,3,,
"Comercio al por menor (056)",799,92,,577,3,127,,
"Hoteles y restaurantes (057)",321,66,6,216,7,26,,
"Trans., almac. y comunicaciones (058)",37,27,2,4,3,1,,
"Intermediación financiera (059)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (060)",48,35,7,6,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",85,65,20,,,,,
"Enseñanza (062)",838,778,,59,,1,,
"Servicios sociales y de salud (063)",95,89,,5,,1,,
"Otras activ. serv.comun.soc y personales (064)",140,62,19,55,,4,,
"Hogares privados con servicio doméstico (065)",667,,,,,,667,
"Actividad economica no especificada (067)",502,70,46,280,12,94,,
,,,,,,,,
"URBANA (068)",7560,2285,906,3134,84,390,313,448
"Agric., ganadería, caza y silvicultura (069)",1313,6,256,876,13,162,,
"Explotación de minas y canteras (071)",14,5,9,,,,,
"Industrias manufactureras (072)",598,7,101,456,12,22,,
"Suministro de electricidad, gas y agua (073)",12,6,6,,,,,
"Construcción (074)",474,25,337,99,9,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",1320,132,14,1012,19,143,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",101,4,11,76,4,6,,
"Comercio al por mayor (077)",45,7,,28,7,3,,
"Comercio al por menor (078)",1174,121,3,908,8,134,,
"Hoteles y restaurantes (079)",231,73,5,130,7,16,,
"Trans., almac. y comunicaciones (080)",424,121,33,252,11,7,,
"Intermediación financiera (081)",16,15,,,1,,,
"Activid.inmobil., empres. y alquileres (082)",127,81,11,33,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",286,223,63,,,,,
"Enseñanza (084)",1339,1264,,72,,3,,
"Servicios sociales y de salud (085)",130,109,,20,,1,,
"Otras activ. serv.comun.soc y personales (086)",240,107,43,81,2,7,,
"Hogares privados con servicio doméstico (087)",313,,,,,,313,
"Actividad economica no especificada (089)",275,111,28,103,8,25,,
"Desocupado (090)",448,,,,,,,448
"Hombres (091)",4619,1174,805,2042,59,215,8,316
"Agric., ganadería, caza y silvicultura (092)",1218,6,231,830,10,141,,
"Explotación de minas y canteras (094)",13,4,9,,,,,
"Industrias manufactureras (095)",291,5,68,195,9,14,,
"Suministro de electricidad, gas y agua (096)",9,3,6,,,,,
"Construcción (097)",467,24,333,97,9,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",604,45,14,505,12,28,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",92,3,11,70,4,4,,
"Comercio al por mayor (100)",26,2,,21,3,,,
"Comercio al por menor (101)",486,40,3,414,5,24,,
"Hoteles y restaurantes (102)",56,24,4,22,3,3,,
"Trans., almac. y comunicaciones (103)",391,96,32,248,8,7,,
"Intermediación financiera (104)",14,13,,,1,,,
"Activid.inmobil., empres. y alquileres (105)",81,47,5,27,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",210,163,47,,,,,
"Enseñanza (107)",620,587,,30,,3,,
"Servicios sociales y de salud (108)",58,40,,18,,,,
"Otras activ. serv.comun.soc y personales (109)",133,57,32,37,2,5,,
"Hogares privados con servicio doméstico (110)",8,,,,,,8,
"Actividad economica no especificada (112)",130,60,24,33,3,10,,
"Desocupado (113)",316,,,,,,,316
"Mujeres (114)",2941,1111,101,1092,25,175,305,132
"Agric., ganadería, caza y silvicultura (115)",95,,25,46,3,21,,
"Explotación de minas y canteras (117)",1,1,,,,,,
"Industrias manufactureras (118)",307,2,33,261,3,8,,
"Suministro de electricidad, gas y agua (119)",3,3,,,,,,
"Construcción (120)",7,1,4,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",716,87,,507,7,115,,
