"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHUMBIVILCAS (000)",19393,75104,4636,17041,14757,58063
"Casa independiente (001)",16927,65685,4363,16211,12564,49474
"Departamento en edificio (002)",7,28,7,28,,
"Vivienda en quinta (003)",24,73,24,73,,
"Vivienda en casa de vecindad (004)",226,671,226,671,,
"Choza o cabaña (005)",2183,8576,,,2183,8576
"Vivienda improvisada (006)",4,9,4,9,,
"Local no dest.para hab. humana (007)",20,58,12,49,8,9
"Otro tipo (008)",2,4,,,2,4
