"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",17487,37,958,242,215,1092,7390,649,300,5006,219,369,1010
"Agric., ganadería, caza y silvicultura (001)",10694,,2,12,1,3,7232,1,3,3440,,,
"Pesca (002)",718,,,1,,,158,,,559,,,
"Explotación de minas y canteras (003)",2,,,,,,,1,1,,,,
"Industrias manufactureras (004)",638,,4,12,6,1,,571,21,23,,,
"Suministro de electricidad, gas y agua (005)",9,,1,,1,,,1,,6,,,
"Construcción (006)",171,,1,7,1,,,11,113,38,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1277,,6,11,2,894,,54,3,307,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",77,,2,3,,25,,44,2,1,,,
"Comercio al por mayor (009)",60,,,,,55,,,1,4,,,
"Comercio al por menor (010)",1140,,4,8,2,814,,10,,302,,,
"Hoteles y restaurantes (011)",322,,5,24,,139,,,,154,,,
"Trans., almac. y comunicaciones (012)",248,,2,7,4,2,,3,155,75,,,
"Intermediación financiera (013)",2,1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",110,,19,20,20,19,,1,2,29,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",493,15,29,25,132,12,,2,1,58,219,,
"Enseñanza (016)",868,21,834,1,7,,,,,5,,,
"Servicios sociales y de salud (017)",134,,41,74,7,6,,2,,4,,,
"Otras activ. serv.comun.soc y personales (018)",147,,13,45,11,16,,2,1,59,,,
"Hogares privados con servicio doméstico (019)",249,,,,,,,,,249,,,
"Actividad economica no especificada (021)",395,,1,3,22,,,,,,,369,
"Desocupado (022)",1010,,,,,,,,,,,,1010
"Hombres (023)",13142,26,571,174,131,548,6654,596,288,2928,215,200,811
"Agric., ganadería, caza y silvicultura (024)",8432,,2,10,1,,6499,1,3,1916,,,
"Pesca (025)",688,,,1,,,155,,,532,,,
"Explotación de minas y canteras (026)",2,,,,,,,1,1,,,,
"Industrias manufactureras (027)",571,,3,9,4,1,,521,12,21,,,
"Suministro de electricidad, gas y agua (028)",9,,1,,1,,,1,,6,,,
"Construcción (029)",169,,1,7,1,,,11,112,37,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",721,,6,10,1,479,,51,3,171,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",71,,2,3,,20,,43,2,1,,,
"Comercio al por mayor (032)",47,,,,,42,,,1,4,,,
"Comercio al por menor (033)",603,,4,7,1,417,,8,,166,,,
"Hoteles y restaurantes (034)",65,,2,14,,26,,,,23,,,
"Trans., almac. y comunicaciones (035)",240,,2,5,1,2,,3,153,74,,,
"Intermediación financiera (036)",2,1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",78,,15,14,9,19,,1,2,18,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",421,10,23,21,90,9,,2,1,50,215,,
"Enseñanza (039)",501,15,479,1,3,,,,,3,,,
"Servicios sociales y de salud (040)",82,,25,46,5,3,,2,,1,,,
"Otras activ. serv.comun.soc y personales (041)",85,,11,33,6,9,,2,1,23,,,
"Hogares privados con servicio doméstico (042)",53,,,,,,,,,53,,,
"Actividad economica no especificada (044)",212,,1,3,8,,,,,,,200,
"Desocupado (045)",811,,,,,,,,,,,,811
"Mujeres (046)",4345,11,387,68,84,544,736,53,12,2078,4,169,199
"Agric., ganadería, caza y silvicultura (047)",2262,,,2,,3,733,,,1524,,,
"Pesca (048)",30,,,,,,3,,,27,,,
"Industrias manufactureras (050)",67,,1,3,2,,,50,9,2,,,
"Construcción (052)",2,,,,,,,,1,1,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",556,,,1,1,415,,3,,136,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",6,,,,,5,,1,,,,,
"Comercio al por mayor (055)",13,,,,,13,,,,,,,
"Comercio al por menor (056)",537,,,1,1,397,,2,,136,,,
"Hoteles y restaurantes (057)",257,,3,10,,113,,,,131,,,
"Trans., almac. y comunicaciones (058)",8,,,2,3,,,,2,1,,,
"Activid.inmobil., empres. y alquileres (060)",32,,4,6,11,,,,,11,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",72,5,6,4,42,3,,,,8,4,,
"Enseñanza (062)",367,6,355,,4,,,,,2,,,
"Servicios sociales y de salud (063)",52,,16,28,2,3,,,,3,,,
"Otras activ. serv.comun.soc y personales (064)",62,,2,12,5,7,,,,36,,,
"Hogares privados con servicio doméstico (065)",196,,,,,,,,,196,,,
"Actividad economica no especificada (067)",183,,,,14,,,,,,,169,
"Desocupado (068)",199,,,,,,,,,,,,199
,,,,,,,,,,,,,
"URBANA (069)",5293,23,583,185,194,777,797,488,232,1213,91,213,497
"Agric., ganadería, caza y silvicultura (070)",1126,,2,7,1,,772,1,1,342,,,
"Pesca (071)",165,,,,,,25,,,140,,,
"Explotación de minas y canteras (072)",1,,,,,,,,1,,,,
"Industrias manufactureras (073)",468,,4,7,5,1,,429,9,13,,,
"Suministro de electricidad, gas y agua (074)",7,,1,,1,,,,,5,,,
"Construcción (075)",119,,1,5,1,,,7,78,27,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",918,,5,9,2,621,,46,3,232,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",62,,1,3,,17,,38,2,1,,,
"Comercio al por mayor (078)",47,,,,,42,,,1,4,,,
"Comercio al por menor (079)",809,,4,6,2,562,,8,,227,,,
"Hoteles y restaurantes (080)",238,,4,17,,106,,,,111,,,
"Trans., almac. y comunicaciones (081)",199,,2,5,3,,,2,137,50,,,
"Intermediación financiera (082)",2,1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",99,,14,18,20,19,,1,2,25,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",331,13,29,22,118,12,,1,,45,91,,
"Enseñanza (085)",496,9,477,,6,,,,,4,,,
"Servicios sociales y de salud (086)",105,,33,56,7,5,,1,,3,,,
"Otras activ. serv.comun.soc y personales (087)",114,,10,36,8,13,,,1,46,,,
"Hogares privados con servicio doméstico (088)",170,,,,,,,,,170,,,
"Actividad economica no especificada (090)",238,,1,3,21,,,,,,,213,
"Desocupado (091)",497,,,,,,,,,,,,497
"Hombres (092)",3670,16,336,125,116,373,700,444,228,720,87,143,382
"Agric., ganadería, caza y silvicultura (093)",924,,2,5,1,,677,1,1,237,,,
"Pesca (094)",159,,,,,,23,,,136,,,
"Explotación de minas y canteras (095)",1,,,,,,,,1,,,,
"Industrias manufactureras (096)",420,,3,5,3,1,,388,7,13,,,
"Suministro de electricidad, gas y agua (097)",7,,1,,1,,,,,5,,,
"Construcción (098)",119,,1,5,1,,,7,78,27,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",501,,5,9,1,315,,43,3,125,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",58,,1,3,,14,,37,2,1,,,
"Comercio al por mayor (101)",39,,,,,34,,,1,4,,,
"Comercio al por menor (102)",404,,4,6,1,267,,6,,120,,,
"Hoteles y restaurantes (103)",50,,1,9,,19,,,,21,,,
"Trans., almac. y comunicaciones (104)",192,,2,3,1,,,2,135,49,,,
"Intermediación financiera (105)",2,1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",68,,10,12,9,19,,1,2,15,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",265,9,23,19,80,9,,1,,37,87,,
"Enseñanza (108)",269,6,258,,2,,,,,3,,,
"Servicios sociales y de salud (109)",59,,21,30,5,2,,1,,,,,
"Otras activ. serv.comun.soc y personales (110)",60,,8,25,3,8,,,1,15,,,
"Hogares privados con servicio doméstico (111)",37,,,,,,,,,37,,,
"Actividad economica no especificada (113)",155,,1,3,8,,,,,,,143,
"Desocupado (114)",382,,,,,,,,,,,,382
"Mujeres (115)",1623,7,247,60,78,404,97,44,4,493,4,70,115
"Agric., ganadería, caza y silvicultura (116)",202,,,2,,,95,,,105,,,
"Pesca (117)",6,,,,,,2,,,4,,,
"Industrias manufactureras (119)",48,,1,2,2,,,41,2,,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",417,,,,1,306,,3,,107,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",4,,,,,3,,1,,,,,
"Comercio al por mayor (124)",8,,,,,8,,,,,,,
"Comercio al por menor (125)",405,,,,1,295,,2,,107,,,
"Hoteles y restaurantes (126)",188,,3,8,,87,,,,90,,,
"Trans., almac. y comunicaciones (127)",7,,,2,2,,,,2,1,,,
"Activid.inmobil., empres. y alquileres (129)",31,,4,6,11,,,,,10,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",66,4,6,3,38,3,,,,8,4,,
"Enseñanza (131)",227,3,219,,4,,,,,1,,,
"Servicios sociales y de salud (132)",46,,12,26,2,3,,,,3,,,
"Otras activ. serv.comun.soc y personales (133)",54,,2,11,5,5,,,,31,,,
"Hogares privados con servicio doméstico (134)",133,,,,,,,,,133,,,
"Actividad economica no especificada (136)",83,,,,13,,,,,,,70,
"Desocupado (137)",115,,,,,,,,,,,,115
,,,,,,,,,,,,,
"RURAL (138)",12194,14,375,57,21,315,6593,161,68,3793,128,156,513
"Agric., ganadería, caza y silvicultura (139)",9568,,,5,,3,6460,,2,3098,,,
"Pesca (140)",553,,,1,,,133,,,419,,,
"Explotación de minas y canteras (141)",1,,,,,,,1,,,,,
"Industrias manufactureras (142)",170,,,5,1,,,142,12,10,,,
"Suministro de electricidad, gas y agua (143)",2,,,,,,,1,,1,,,
"Construcción (144)",52,,,2,,,,4,35,11,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",359,,1,2,,273,,8,,75,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",15,,1,,,8,,6,,,,,
"Comercio al por mayor (147)",13,,,,,13,,,,,,,
"Comercio al por menor (148)",331,,,2,,252,,2,,75,,,
"Hoteles y restaurantes (149)",84,,1,7,,33,,,,43,,,
"Trans., almac. y comunicaciones (150)",49,,,2,1,2,,1,18,25,,,
"Activid.inmobil., empres. y alquileres (152)",11,,5,2,,,,,,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (153)",162,2,,3,14,,,1,1,13,128,,
