"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARI (000)",15553,14826,54,2365,2281,2129,3642,2625,1323,407,727,61853
"De 12 a 14 años (001)",30,11,,8,3,,,,,,19,14
"De 15 a 19 años (002)",359,297,3,253,34,3,4,,,,62,346
"De 20 a 24 años (003)",1454,1226,6,732,361,98,25,4,,,228,1878
"De 25 a 29 años (004)",1656,1485,2,458,490,312,209,13,1,,171,3341
"De 30 a 34 años (005)",1531,1466,3,239,357,350,397,106,13,1,65,4519
"De 35 a 39 años (006)",1723,1672,3,139,270,324,572,285,74,5,51,6688
"De 40 a 44 años (007)",1517,1490,4,69,178,218,484,358,146,33,27,7123
"De 45 a 49 años (008)",1309,1293,1,72,117,162,360,338,182,61,16,6747
"De 50 y más años (009)",5974,5886,32,395,471,662,1591,1521,907,307,88,31197
"Conviviente (010)",4006,3865,12,1148,895,626,697,327,126,34,141,11374
"De 12 a 14 años (011)",21,5,,5,,,,,,,16,5
"De 15 a 19 años (012)",247,202,2,174,26,,,,,,45,226
"De 20 a 24 años (013)",875,838,4,499,247,70,15,3,,,37,1283
"De 25 a 29 años (014)",841,820,1,249,283,175,109,3,,,21,1819
"De 30 a 34 años (015)",600,592,2,108,159,134,155,31,3,,8,1726
"De 35 a 39 años (016)",526,520,,44,76,117,170,84,28,1,6,2064
"De 40 a 44 años (017)",308,307,1,24,47,43,92,69,26,5,1,1371
"De 45 a 49 años (018)",190,188,,17,23,29,58,34,20,7,2,873
"De 50 y más años (019)",398,393,2,28,34,58,98,103,49,21,5,2007
"Separado(a) (020)",764,751,,257,170,106,133,57,20,8,13,2118
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",30,28,,27,1,,,,,,2,29
