"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN ROMAN (000)",90010,69701,7115,6027,7167
"Sin nivel (001)",3456,3344,83,16,13
"Educación inicial (002)",63,57,4,1,1
"Primaria (003)",19847,18600,763,250,234
"Secundaria (004)",35622,30326,2566,1228,1502
"Superior no univ. incompleta (005)",5207,3912,530,341,424
"Superior no univ. completa (006)",7342,3931,956,1247,1208
"Superior univ. incompleta (007)",6064,4352,647,411,654
"Superior univ. completa (008)",12409,5179,1566,2533,3131
"De 06 a 14 años (010)",1270,1141,98,25,6
"Sin nivel (011)",12,11,1,,
"Educación inicial (012)",12,11,,1,
"Primaria (013)",616,566,38,12,
"Secundaria (014)",630,553,59,12,6
"De 15 a 29 años (020)",30533,23698,3034,1827,1974
"Sin nivel (021)",135,129,6,,
"Educación inicial (022)",27,25,2,,
"Primaria (023)",2618,2378,167,38,35
"Secundaria (024)",16092,13466,1404,621,601
"Superior no univ. incompleta (025)",2819,2157,338,161,163
"Superior no univ. completa (026)",2682,1745,327,294,316
"Superior univ. incompleta (027)",3078,2279,366,187,246
"Superior univ. completa (028)",3082,1519,424,526,613
"De 30 a 44 años (030)",34105,25306,2641,2862,3296
"Sin nivel (031)",433,413,10,4,6
"Educación inicial (032)",24,21,2,,1
"Primaria (033)",6888,6453,239,95,101
"Secundaria (034)",12776,11070,741,401,564
"Superior no univ. incompleta (035)",1848,1391,148,137,172
"Superior no univ. completa (036)",3595,1798,493,687,617
"Superior univ. incompleta (037)",2137,1490,209,152,286
"Superior univ. completa (038)",6404,2670,799,1386,1549
"De 45 a 64 años (040)",20684,16341,1251,1263,1829
"Sin nivel (041)",1675,1612,49,9,5
"Primaria (043)",8072,7615,282,91,84
"Secundaria (044)",5763,4922,342,182,317
"Superior no univ. incompleta (045)",518,346,43,41,88
"Superior no univ. completa (046)",1027,361,134,263,269
"Superior univ. incompleta (047)",824,563,72,70,119
"Superior univ. completa (048)",2805,922,329,607,947
"De 65 y más años (050)",3418,3215,91,50,62
"Sin nivel (051)",1201,1179,17,3,2
"Primaria (053)",1653,1588,37,14,14
"Secundaria (054)",361,315,20,12,14
"Superior no univ. incompleta (055)",22,18,1,2,1
"Superior no univ. completa (056)",38,27,2,3,6
