"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHINCHEROS (000)",452,8,232,139,57,16
"Conviviente (001)",103,,63,36,3,1
"Separado(a) (002)",8,,4,3,,1
"Casado(a) (003)",162,,24,76,50,12
"Viudo(a) (004)",4,,,2,1,1
"Divorciado(a) (005)",1,,,,,1
"Soltero(a) (006)",174,8,141,22,3,
"Hombres (008)",368,5,176,117,54,16
"Conviviente (009)",89,,53,32,3,1
"Separado(a) (010)",4,,2,1,,1
"Casado(a) (011)",145,,18,68,47,12
"Viudo(a) (012)",4,,,2,1,1
"Divorciado(a) (013)",1,,,,,1
"Soltero(a) (014)",125,5,103,14,3,
"Mujeres (016)",84,3,56,22,3,
"Conviviente (017)",14,,10,4,,
"Separado(a) (018)",4,,2,2,,
"Casado(a) (019)",17,,6,8,3,
"Soltero(a) (022)",49,3,38,8,,
,,,,,,
"AREA URBANA (024)",166,4,84,54,20,4
"Conviviente (025)",46,,26,17,2,1
"Separado(a) (026)",3,,1,1,,1
"Casado(a) (027)",47,,5,23,17,2
"Viudo(a) (028)",1,,,1,,
"Soltero(a) (030)",69,4,52,12,1,
"Hombres (032)",133,2,63,45,19,4
"Conviviente (033)",40,,20,17,2,1
"Separado(a) (034)",2,,,1,,1
"Casado(a) (035)",38,,2,18,16,2
"Viudo(a) (036)",1,,,1,,
"Soltero(a) (038)",52,2,41,8,1,
"Mujeres (040)",33,2,21,9,1,
"Conviviente (041)",6,,6,,,
"Separado(a) (042)",1,,1,,,
"Casado(a) (043)",9,,3,5,1,
"Soltero(a) (046)",17,2,11,4,,
,,,,,,
"AREA RURAL (048)",286,4,148,85,37,12
"Conviviente (049)",57,,37,19,1,
"Separado(a) (050)",5,,3,2,,
"Casado(a) (051)",115,,19,53,33,10
"Viudo(a) (052)",3,,,1,1,1
"Divorciado(a) (053)",1,,,,,1
"Soltero(a) (054)",105,4,89,10,2,
"Hombres (056)",235,3,113,72,35,12
"Conviviente (057)",49,,33,15,1,
"Separado(a) (058)",2,,2,,,
"Casado(a) (059)",107,,16,50,31,10
"Viudo(a) (060)",3,,,1,1,1
"Divorciado(a) (061)",1,,,,,1
"Soltero(a) (062)",73,3,62,6,2,
"Mujeres (064)",51,1,35,13,2,
"Conviviente (065)",8,,4,4,,
"Separado(a) (066)",3,,1,2,,
"Casado(a) (067)",8,,3,3,2,
"Soltero(a) (070)",32,1,27,4,,
