"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia TARATA (000)",7805,7745,44,16
"Hombres (001)",4017,3995,13,9
"Mujeres (002)",3788,3750,31,7
"Menores de 1 año (003)",111,96,10,5
"Hombres (004)",55,49,4,2
"Mujeres (005)",56,47,6,3
"De 1 a 5 años (006)",638,619,9,10
"Hombres (007)",323,314,3,6
"Mujeres (008)",315,305,6,4
"De 6 a 14 años (009)",1122,1122,,
"Hombres (010)",584,584,,
"Mujeres (011)",538,538,,
"De 15 a 29 años (012)",1851,1851,,
"Hombres (013)",955,955,,
"Mujeres (014)",896,896,,
"De 30 a 44 años (015)",1587,1586,1,
"Hombres (016)",861,861,,
"Mujeres (017)",726,725,1,
"De 45 a 64 años (018)",1502,1501,1,
"Hombres (019)",760,759,1,
"Mujeres (020)",742,742,,
"De 65 a más años (021)",994,970,23,1
"Hombres (022)",479,473,5,1
"Mujeres (023)",515,497,18,
,,,,
"URBANA (024)",6073,6030,34,9
"Hombres (025)",3100,3087,9,4
"Mujeres (026)",2973,2943,25,5
"Menores de 1 año (027)",87,77,8,2
"Hombres (028)",41,37,4,
"Mujeres (029)",46,40,4,2
"De 1 a 5 años (030)",484,470,7,7
"Hombres (031)",245,239,2,4
"Mujeres (032)",239,231,5,3
"De 6 a 14 años (033)",888,888,,
"Hombres (034)",457,457,,
"Mujeres (035)",431,431,,
"De 15 a 29 años (036)",1448,1448,,
"Hombres (037)",753,753,,
"Mujeres (038)",695,695,,
"De 30 a 44 años (039)",1240,1239,1,
"Hombres (040)",658,658,,
"Mujeres (041)",582,581,1,
"De 45 a 64 años (042)",1157,1156,1,
"Hombres (043)",577,576,1,
"Mujeres (044)",580,580,,
"De 65 a más años (045)",769,752,17,
"Hombres (046)",369,367,2,
"Mujeres (047)",400,385,15,
,,,,
"RURAL (048)",1732,1715,10,7
"Hombres (049)",917,908,4,5
"Mujeres (050)",815,807,6,2
"Menores de 1 año (051)",24,19,2,3
"Hombres (052)",14,12,,2
"Mujeres (053)",10,7,2,1
"De 1 a 5 años (054)",154,149,2,3
"Hombres (055)",78,75,1,2
"Mujeres (056)",76,74,1,1
"De 6 a 14 años (057)",234,234,,
"Hombres (058)",127,127,,
"Mujeres (059)",107,107,,
"De 15 a 29 años (060)",403,403,,
"Hombres (061)",202,202,,
"Mujeres (062)",201,201,,
"De 30 a 44 años (063)",347,347,,
"Hombres (064)",203,203,,
"Mujeres (065)",144,144,,
"De 45 a 64 años (066)",345,345,,
"Hombres (067)",183,183,,
"Mujeres (068)",162,162,,
"De 65 a más años (069)",225,218,6,1
"Hombres (070)",110,106,3,1
"Mujeres (071)",115,112,3,
